Test,Animal,Tratamiento,Stage,Trial,Date,Time,Latencia,Distancia,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE,EntradasNE,PromedioNE,EficienciaNE,EntradasSO,PromedioSO
141,2a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:03:00,3.5,0.784,0.226,0.5,1.3,0.4,1.2,1,0.329,0.797,0,0.319
142,2a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:03:00,3.8,0.981,0.26,1,0,0,2.8,1,0.159,0.318,0,0.685
143,2a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:04:00,19.6,3.973,0.203,4.7,2.8,4.4,7.7,1,0.287,0.103,0,0.397
144,3a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:05:00,10.1,2.256,0.223,3.8,2.1,2.4,1.8,1,0.392,0.295,0,0.301
145,3a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:07:00,5.7,1.203,0.211,2,0,0,3.7,1,0.211,0.497,0,0.591
146,3a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:08:00,4.8,0.824,0.173,1.6,0,0,3.2,1,0.182,0.474,0,0.716
147,3a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:08:00,9.8,2.15,0.219,4.6,1,1.1,3.2,1,0.402,0.124,0,0.475
148,4a,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:09:00,30.9,6.869,0.222,3.2,4.7,8.5,14.5,1,0.304,0.091,1,0.481
149,4a,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:10:00,3.7,0.848,0.228,0.6,1.4,0,1.8,1,0.303,0.721,0,0.383
150,4a,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:10:00,9.2,1.518,0.164,0,0,1.3,7.9,1,0.19,0.182,0,0.707
151,4a,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:11:00,5.5,1.137,0.207,0.4,0,1.7,3.3,1,0.208,0.345,0,0.599
180,1-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:42:00,8.8,2.093,0.239,3.1,2.5,1.1,2.1,1,0.355,0.259,0,0.356
181,1-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:42:00,7.9,1.583,0.201,0.7,4.3,0.3,2.6,1,0.435,0.443,0,0.323
182,1-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:43:00,7.1,1.482,0.209,2.7,1.5,0.1,2.7,1,0.317,0.241,0,0.456
183,1-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:43:00,1.9,0.3,0.157,0,0,0,1.9,1,0.184,0.963,0,0.723
184,2-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:45:00,4.7,1.046,0.223,0,0,3.7,1,1,0.442,0.598,0,0.403
185,2-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:46:00,5.9,1.157,0.197,4.9,0,0,1,1,0.393,0.467,0,0.456
186,2-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:46:00,2.1,0.263,0.124,0,0,0,2.1,1,0.223,0.973,0,0.803
187,2-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:47:00,4.9,1.016,0.206,1.3,0.3,1.8,1.5,1,0.245,0.324,0,0.45
188,3-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:47:00,2.9,0.758,0.257,0,0.5,1.6,0.9,1,0.407,0.959,0,0.372
189,3-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:48:00,6.2,1.583,0.257,1,2.1,0,3.1,1,0.339,0.498,1,0.467
190,3-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:48:00,3.1,0.418,0.136,2.2,0,0,0.9,1,0.281,0.795,0,0.712
191,3-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:49:00,4.7,0.795,0.168,0,0,1.1,3.6,1,0.141,0.457,0,0.674
192,4-2,CUMS_Fluox,entrenamiento_3,1,12/21/2022,14:49:00,60,13.058,0.218,12.8,13.9,15,18.4,0,0.389,NA,1,0.448
193,4-2,CUMS_Fluox,entrenamiento_3,2,12/21/2022,14:51:00,8.1,1.335,0.164,4.5,0,0,3.6,1,0.335,0.479,0,0.495
194,4-2,CUMS_Fluox,entrenamiento_3,3,12/21/2022,14:51:00,6.4,0.97,0.15,1.4,0,0,5,1,0.155,0.325,0,0.672
195,4-2,CUMS_Fluox,entrenamiento_3,4,12/21/2022,14:52:00,5.3,0.855,0.162,0,0,1.6,3.6,1,0.177,0.476,0,0.567
212,1b,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:00:00,4.6,0.949,0.208,1,0,1.2,2.4,1,0.185,0.305,0,0.55
213,1b,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:01:00,60,13.904,0.232,18.4,11.2,13.6,16.8,0,0.397,NA,0,0.462
214,1b,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:02:00,5.5,2.243,0.404,2.6,0,0,3,1,0.279,0.214,0,0.526
215,1b,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:03:00,11.7,2.285,0.196,5.2,1.9,1.4,3.2,1,0.396,0.241,0,0.429
216,2b,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:05:00,1.3,0.197,0.154,0,0,0,1.3,1,0.074,0.579,0,0.708
217,2b,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:05:00,2.7,0.616,0.227,0,0,0,2.7,1,0.128,0.275,0,0.761
218,2b,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:06:00,2.4,0.531,0.222,0.3,1.2,0,0.9,1,0.312,0.963,0,0.302
219,2b,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:06:00,5.6,1.301,0.234,2.8,1.9,0,0.9,1,0.372,0.489,0,0.417
220,3b,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:08:00,18.5,5.138,0.277,3.2,3.7,3.1,8.5,1,0.294,0.056,1,0.461
221,3b,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:08:00,6,1.203,0.202,3,0,0,2.9,1,0.197,0.214,0,0.627
222,3b,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:09:00,4,1.903,0.481,2,0.8,0,1.1,1,0.368,0.2,0,0.43
223,3b,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:10:00,3.4,1.218,0.357,1,1,0.6,0.9,1,0.418,0.646,0,0.33
224,1-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:13:00,25.7,5.41,0.21,5,1.8,4.2,14.8,1,0.271,0.037,0,0.554
225,1-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:14:00,9.4,0.637,0.068,2.1,0,0,7.3,1,0.103,0.389,0,0.627
226,1-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:15:00,9.8,1.158,0.118,2.3,1,1.1,5.4,1,0.228,0.482,0,0.413
227,1-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:16:00,11.1,1.782,0.161,4.3,1.2,4.2,1.3,1,0.355,0.421,0,0.404
228,2-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:18:00,2.6,0.369,0.14,0,0,0.7,1.9,1,0.165,0.74,0,0.62
229,2-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:18:00,7.7,0.93,0.121,0,0,0,7.7,1,0.095,0.151,0,0.598
230,2-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:19:00,10.3,2.564,0.249,2,0,2.5,5.8,1,0.226,0.18,0,0.652
231,2-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:20:00,23.1,4.342,0.188,7,1.3,3.3,11.4,1,0.268,0.022,0,0.532
232,3-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:21:00,11.1,1.788,0.161,1.3,0,3.4,6.4,1,0.186,0.228,0,0.59
233,3-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:22:00,7.9,1.227,0.156,0.8,0,1.2,5.9,1,0.158,0.124,0,0.638
234,3-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:22:00,11.6,3.187,0.274,4.1,1.4,1.2,5,1,0.312,0.129,1,0.564
235,3-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:23:00,3.8,0.721,0.189,0,0,2.5,1.3,1,0.317,0.852,0,0.406
236,4-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:24:00,53.2,12.07,0.227,7.4,9.2,10.4,26.2,1,0.294,0.02,1,0.504
237,4-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:25:00,4.6,0.622,0.134,0,0,0,4.6,1,0.152,0.528,0,0.702
238,4-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:25:00,4.4,0.88,0.199,2.5,0.7,0,1.2,1,0.42,0.785,0,0.397
239,4-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:27:00,9.1,1.948,0.215,1.5,2.6,2.3,2.6,1,0.339,0.356,0,0.37
196,1a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:43:00,10.8,2.489,0.23,6.3,0,2.9,1.6,1,0.332,0.167,0,0.483
197,1a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:44:00,10.5,2.314,0.22,3.9,1.1,0.4,5.1,1,0.232,0.042,0,0.497
198,1a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:45:00,3.2,0.739,0.234,0.9,1.3,0,1,1,0.384,0.907,0,0.308
199,1a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:46:00,4.1,1.014,0.248,1.5,1.6,0,1,1,0.348,0.56,0,0.376
200,2a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:48:00,15.9,3.141,0.198,1.7,0.4,5.7,8,1,0.221,0.089,0,0.472
201,2a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:49:00,2,0.228,0.113,0,0,0,2,1,0.16,0.912,0,0.631
202,2a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:49:00,6.7,1.167,0.175,2.9,0,0,3.7,1,0.232,0.474,0,0.422
203,2a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:50:00,5.7,1.114,0.196,3.3,1.4,0,1,1,0.313,0.502,0,0.349
204,3a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:51:00,3.2,0.745,0.234,0.6,0.1,1.1,1.4,1,0.208,0.232,0,0.43
205,3a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:52:00,4.7,0.81,0.172,0,0,0,4.7,1,0.136,0.345,0,0.723
206,3a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:52:00,2.2,0.519,0.237,0.6,0.6,0,0.9,1,0.307,0.993,0,0.325
207,3a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:53:00,3,0.822,0.276,0,0,1.8,1.2,1,0.335,0.905,0,0.443
208,4a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:55:00,25.7,5.82,0.226,3.6,2.7,14.4,5,1,0.37,0.067,0,0.412
209,4a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:55:00,1.8,0.124,0.067,0,0,0,1.8,1,0.033,0.311,0,0.694
210,4a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:56:00,4.9,1.398,0.283,2.2,0.7,0,2.1,1,0.268,0.292,0,0.507
211,4a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:56:00,6.6,1.551,0.234,1.4,3.9,0.4,0.9,1,0.515,0.424,0,0.233
240,1-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:29:00,4.1,0.736,0.181,0,0,0,4.1,1,0.116,0.221,0,0.719
241,1-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:30:00,3.3,0.745,0.224,2.5,0,0,0.8,1,0.288,0.414,0,0.568
242,1-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:30:00,3.5,1.252,0.36,2,0,0,1.5,1,0.269,0.34,0,0.494
243,1-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:31:00,9.4,1.654,0.175,0,1.2,2,6.3,1,0.218,0.389,0,0.576
244,2-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:33:00,6.5,1.446,0.222,1.8,1,2.8,0.9,1,0.343,0.147,0,0.39
245,2-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:34:00,12.3,2.474,0.201,0.1,1.3,2,9,1,0.239,0.082,0,0.591
246,2-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:34:00,6.4,2.169,0.34,1.4,0.9,0,4.1,1,0.225,0.204,0,0.552
247,2-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:36:00,60,9.222,0.154,11.8,6.3,14.2,27.7,0,0.257,NA,0,0.466
248,3-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:39:00,2.5,0.429,0.17,0,0,1.1,1.4,1,0.219,0.86,0,0.674
249,3-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:39:00,1.9,0.335,0.179,1.5,0,0,0.4,1,0.238,0.991,0,0.608
250,3-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:40:00,6.2,1.18,0.192,1.6,0,1.1,3.4,1,0.241,0.377,0,0.569
251,3-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:40:00,20.1,4.418,0.22,3,1.4,4.9,10.8,1,0.271,0.133,0,0.571
252,4-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:42:00,2.5,0.374,0.152,0,0,1.5,1,1,0.176,0.661,0,0.559
253,4-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:42:00,23.5,5.413,0.23,5.5,5.7,6.3,6.1,1,0.457,0.061,0,0.468
254,4-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:43:00,18,3.196,0.178,2.6,1.8,5,8.7,1,0.248,0.209,0,0.52
255,4-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:44:00,24.1,4.774,0.198,5,4.4,4.8,9.9,1,0.337,0.127,1,0.436
260,1b,CUMS_ctrl,prueba_1,1,12/23/2022,14:04:00,60,14.013,0.234,19.4,11.1,8.7,20.8,5,0.355,0.92,1,0.469
261,2b,CUMS_ctrl,prueba_1,1,12/23/2022,14:07:00,60,14.031,0.234,16.1,5.4,5,33.5,8,0.259,0.874,1,0.506
262,3b,CUMS_ctrl,prueba_1,1,12/23/2022,14:09:00,60,13.554,0.226,7.3,3.4,6.1,43.2,8,0.194,0.451,0,0.576
263,1-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:14:00,60,13.447,0.224,13.6,8.6,6.5,31.3,6,0.279,0.926,1,0.499
264,2-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:15:00,60,13.573,0.226,14.7,7.9,15.5,21.8,3,0.302,0.235,0,0.428
265,3-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:17:00,60,13.026,0.217,13.8,0,3.2,43,9,0.214,0.478,0,0.611
266,4-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:18:00,60,13.193,0.22,12.1,5,8.6,34.3,8,0.262,0.934,0,0.524
256,1a,CUMS_Fluox,prueba_1,1,12/23/2022,13:55:00,60,13.275,0.221,12.5,4.5,4.9,38.1,8,0.246,0.487,1,0.568
257,2a,CUMS_Fluox,prueba_1,1,12/23/2022,13:57:00,60,13.672,0.228,15.3,5.8,9.5,29.4,8,0.277,0.387,2,0.507
258,3a,CUMS_Fluox,prueba_1,1,12/23/2022,13:59:00,60,13.685,0.228,16.8,5.2,6.2,31.8,8,0.257,0.858,1,0.501
259,4a,CUMS_Fluox,prueba_1,1,12/23/2022,14:01:00,60,13.849,0.231,11.2,8.9,12.4,27.6,6,0.284,0.954,1,0.475
267,1-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:21:00,60,10.236,0.171,12.6,4.1,6.2,37.2,3,0.233,0.309,0,0.505
268,2-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:24:00,60,12.347,0.206,6.4,5.3,14.4,34,7,0.254,0.819,1,0.536
269,3-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:26:00,60,12.854,0.214,16.1,5.9,8.2,29.8,5,0.274,0.091,1,0.52
270,4-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:28:00,60,12.344,0.206,10,6.3,13.8,29.9,3,0.267,0.42,2,0.516
275,1b,CUMS_ctrl,prueba_2,1,2/4/2023,15:09:00,60,10.83,0.181,14.5,10.4,16.9,18.2,1,0.394,0.785,0,0.448
276,2b,CUMS_ctrl,prueba_2,1,2/4/2023,15:10:00,60,13.413,0.224,17.5,9.7,13.4,19.4,0,0.413,NA,1,0.566
277,3b,CUMS_ctrl,prueba_2,1,2/4/2023,15:12:00,60,12.639,0.211,13.7,5,4.2,37.2,3,0.247,0.193,0,0.598
278,1-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:14:00,60,14.355,0.239,11.5,8.8,11.1,28.5,5,0.339,0.811,0,0.545
279,2-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:16:00,60,11.578,0.193,8.4,9,15.5,27.2,2,0.339,0.139,1,0.564
280,3-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:17:00,60,13.515,0.225,12.1,7.8,8.4,31.8,2,0.342,0.116,1,0.553
281,4-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:18:00,60,14.034,0.234,9.5,14.4,14.3,21.8,2,0.397,0.1,2,0.49
271,1a,CUMS_Fluox,prueba_2,1,2/4/2023,15:00:00,60,14.656,0.244,12.4,6.7,16.7,24.2,2,0.377,0.068,1,0.57
272,2a,CUMS_Fluox,prueba_2,1,2/4/2023,15:02:00,60,16.042,0.267,13.5,11.7,14.3,20.6,2,0.382,0.086,3,0.468
273,3a,CUMS_Fluox,prueba_2,1,2/4/2023,15:03:00,60,15.587,0.26,10.5,14.4,19.9,15.2,1,0.488,0.096,2,0.485
274,4a,CUMS_Fluox,prueba_2,1,2/4/2023,15:05:00,60,13.125,0.219,7.9,8.3,15.7,28.1,4,0.359,0.14,0,0.553
282,1-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:21:00,60,12.133,0.202,15,15.5,14.6,14.9,0,0.447,NA,2,0.471
283,2-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:24:00,60,11.566,0.193,6.3,7.8,10.6,35.4,3,0.317,0.095,0,0.593
284,3-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:25:00,60,12.345,0.206,8,10.1,22.5,19.4,2,0.434,0.141,0,0.544
285,4-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:26:00,60,14.404,0.24,17.5,14.9,8.9,18.7,1,0.494,0.083,1,0.538
302,1b,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:00:00,60,11.461,0.191,9.6,7,13.5,30,5,0.289,0.497,0,0.492
303,1b,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:03:00,9.3,1.554,0.167,1.6,3.1,2.2,2.4,0,0.359,NA,1,0.355
304,1b,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:04:00,11.9,1.85,0.156,2.8,1.9,1.7,5.5,1,0.316,0.709,1,0.427
305,1b,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:05:00,6,0.996,0.165,0,2.8,1.8,1.5,0,0.439,NA,1,0.345
306,2b,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:07:00,37.8,8.518,0.225,3.1,3.9,11.6,19.2,1,0.283,0.35,1,0.562
307,2b,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:09:00,12.3,2.956,0.24,0.5,1.8,4.4,5.7,0,0.29,NA,1,0.497
308,2b,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:10:00,14.5,3.026,0.209,2.6,4.7,2.5,4.6,0,0.328,NA,1,0.366
309,2b,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:11:00,8.6,1.545,0.179,0,4.6,0.6,3.5,0,0.437,NA,1,0.361
310,3b,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:12:00,28.7,6.052,0.211,1.9,3.2,4.7,19,5,0.23,0.442,1,0.56
311,3b,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:13:00,8,1.582,0.197,0.6,5.4,0,2.1,0,0.52,NA,1,0.257
312,3b,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:15:00,57.5,12.218,0.213,9.9,20.5,2.7,24.5,4,0.359,0.187,1,0.391
313,3b,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:17:00,16.1,2.925,0.182,3.8,8.7,0.1,3.4,1,0.43,0.879,1,0.306
314,1-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:20:00,60,12.752,0.213,14.3,6.6,6.6,32.5,3,0.258,0.826,0,0.528
315,1-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:22:00,39.4,6.489,0.165,10.8,7.2,0,21.4,4,0.293,0.242,1,0.505
316,1-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:24:00,17.9,3.578,0.2,3.7,6.1,1.8,6.3,1,0.377,0.263,1,0.39
317,1-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:25:00,17,3.831,0.225,1.9,4.4,2.4,8.4,0,0.333,NA,1,0.48
318,2-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:27:00,10.4,2.308,0.223,0.4,2.9,4.2,2.8,1,0.468,0.762,1,0.406
319,2-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:28:00,7.6,1.481,0.196,1,2,1.4,3.1,1,0.34,0.92,1,0.387
320,2-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:29:00,16.7,3.03,0.181,2.9,9.3,2.2,2.3,1,0.497,0.81,1,0.278
321,2-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:30:00,15.9,2.77,0.174,1.4,10.9,0.6,3,0,0.5,NA,1,0.229
322,3-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:31:00,60,13.942,0.232,7.8,11,16.2,25,2,0.355,0.102,0,0.466
323,3-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:34:00,5,0.99,0.199,1.4,0.8,0,2.8,0,0.267,NA,1,0.521
324,3-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:35:00,8.2,1.815,0.221,3.6,3,0,1.6,0,0.448,NA,1,0.341
325,3-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:35:00,9.6,1.794,0.187,3.6,1.2,1,3.8,0,0.279,NA,1,0.457
326,4-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:37:00,60,14.058,0.234,10.6,6.3,14.6,28.4,0,0.322,NA,0,0.535
327,4-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:38:00,10,1.793,0.179,2.1,0.9,0,7,0,0.249,NA,1,0.528
328,4-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:39:00,8.5,1.598,0.189,1.5,4.1,2.9,0,0,0.533,NA,1,0.21
329,4-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:40:00,9.8,2.175,0.221,0,5.3,0.3,4.2,0,0.44,NA,1,0.368
286,1a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:29:00,60,15.68,0.261,5.1,11.8,19.5,23.6,4,0.394,0.332,0,0.501
287,1a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:31:00,60,12.279,0.205,4.2,11.9,25.3,18.5,3,0.347,0.053,0,0.42
288,1a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:33:00,10.7,2.111,0.197,3.1,3.8,2.5,1.3,0,0.388,NA,1,0.313
289,1a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:34:00,1.4,0.241,0.174,0,0.8,0.6,0,0,0.505,NA,1,0.144
290,2a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:47:00,1.1,0,0,0,0,0,0,0,0,NA,0,0
291,2a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:47:00,0.9,0,0,0,0,0,0,0,0,NA,0,0
292,2a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:47:00,0.9,0,0,0,0,0,0,0,0,NA,0,0
293,2a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:47:00,1.1,0,0,0,0,0,0,0,0,NA,0,0
294,3a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:48:00,58.4,13.388,0.229,9.9,2.8,14.7,31,4,0.271,0.104,1,0.557
295,3a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:50:00,21.6,4.865,0.226,5.8,1,3.7,11.1,0,0.27,NA,1,0.506
296,3a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:51:00,11.3,2.449,0.216,1.9,1.1,3.1,5.2,1,0.263,0.293,1,0.527
297,3a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:53:00,47.4,13.29,0.28,11,8.1,13.6,14.7,0,0.406,NA,1,0.505
298,4a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:55:00,23.6,5.497,0.232,4.4,4.8,4.7,9.7,0,0.306,NA,1,0.45
299,4a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:56:00,11,2.348,0.213,2,4.1,4.5,0.5,0,0.515,NA,1,0.305
300,4a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:57:00,0.1,0,0,0,0,0,0,0,0,NA,0,0
301,4a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:57:00,7.8,1.659,0.212,1.4,2.8,1.4,2.2,1,0.411,0.903,1,0.385
330,1-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,15:43:00,12,2.826,0.235,1.5,2.2,5.9,2.4,1,0.381,0.283,1,0.428
331,1-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,15:44:00,5.4,1.062,0.196,0,1.2,1.6,2.6,1,0.296,0.806,1,0.448
332,1-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,15:46:00,23.6,4.498,0.191,8,8.9,3.1,3.6,0,0.437,NA,1,0.334
333,1-2,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,15:48:00,41.9,8.303,0.198,8.5,18.5,5.2,9.7,2,0.401,0.996,1,0.306
334,2-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,15:49:00,60,10.57,0.176,3.4,2.8,31.5,22.3,1,0.321,0.357,0,0.598
335,2-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,15:53:00,60,9.069,0.151,5.4,8.6,11.8,34.3,4,0.268,0.154,0,0.5
336,2-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,15:56:00,11.7,2.025,0.173,5.7,1.4,0,4.6,1,0.31,0.886,1,0.455
337,2-2,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,15:58:00,17.5,3.97,0.227,4.6,2.5,3.1,7.3,0,0.335,NA,1,0.508
338,3-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,16:00:00,15.3,3.219,0.21,5.1,9,1.2,0,0,0.593,NA,1,0.25
339,3-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,16:00:00,6.3,1.303,0.206,0.6,3.2,0,2.6,0,0.458,NA,1,0.353
340,3-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,16:01:00,13.3,2.45,0.184,0,10.9,2.4,0,0,0.663,NA,1,0.146
