Time,Centre position X,Centre position Y
0.000,,
0.230,261,247
0.330,260,254
0.460,257,265
0.570,255,274
0.680,254,284
0.790,250,294
0.900,251,295
1.010,251,293
1.130,241,299
1.250,224,308
1.370,212,312
1.480,196,314
1.600,187,316
1.720,181,317
1.830,171,316
1.950,163,313
2.070,159,302
2.180,157,291
2.300,154,276
2.420,149,259
2.530,147,247
2.640,146,236
2.750,147,235
2.870,148,234
2.990,149,224
3.120,152,204
3.230,153,190
3.340,154,179
3.450,153,171
3.570,152,167
3.690,151,160
3.810,149,154
3.920,149,144
4.040,148,138
4.160,145,122
4.280,145,109
4.390,145,92
4.520,147,82
4.640,148,78
4.750,148,79
4.860,149,78
4.990,149,75
5.100,149,71
5.210,148,72
5.320,148,71
5.430,147,72
5.550,147,70
5.660,147,64
5.780,148,62
5.890,149,63
6.010,151,62
6.130,155,62
6.250,159,60
6.360,174,57
6.480,186,54
6.590,195,52
6.710,203,51
6.820,214,50
6.950,222,50
7.060,233,51
7.170,238,53
7.280,245,55
7.400,254,56
7.510,267,56
7.620,275,55
7.740,278,55
7.860,288,57
7.970,296,59
8.100,310,62
8.220,319,64
8.330,333,64
8.450,345,64
8.570,352,62
8.700,361,62
8.820,371,58
8.950,387,56
9.070,398,54
9.180,403,54
9.310,403,53
9.420,401,54
9.540,405,59
9.650,414,69
9.770,420,78
9.890,424,85
10.000,423,86
10.110,423,102
10.220,420,111
10.330,419,123
10.440,418,136
10.570,416,151
10.680,417,159
10.800,415,169
10.910,415,184
11.030,414,197
11.140,415,207
11.260,414,222
11.380,414,231
11.490,415,244
11.600,415,250
11.720,416,249
11.830,415,243
11.940,415,237
12.060,408,230
12.160,402,221
12.280,396,203
12.400,394,190
12.520,392,173
12.640,393,156
12.750,395,135
12.870,397,120
12.990,403,101
13.110,410,87
13.230,420,69
13.340,424,58
13.450,426,56
13.570,425,56
13.680,425,58
13.790,425,57
13.900,426,56
14.020,425,55
14.140,426,55
14.260,425,54
14.370,424,56
14.490,420,57
14.610,412,54
14.730,402,50
14.840,391,49
14.950,368,46
15.070,354,45
15.180,330,46
15.290,315,47
15.410,301,47
15.520,283,47
15.640,272,47
15.750,260,47
15.870,255,47
15.990,240,48
16.110,226,49
16.220,214,51
16.330,198,54
16.440,184,57
16.550,174,57
16.680,170,56
16.790,164,54
16.900,160,53
17.020,159,52
17.170,159,52
17.330,160,52
17.450,160,52
17.570,160,52
17.690,159,52
17.810,159,52
17.930,158,52
18.050,159,52
18.160,158,51
18.280,158,51
18.390,157,50
18.510,157,50
18.620,157,51
18.730,157,50
18.850,157,50
18.970,157,51
19.090,157,51
19.210,158,51
19.320,159,51
19.440,160,51
19.550,160,52
19.660,163,55
19.790,161,56
19.900,157,61
20.010,153,71
20.130,150,91
20.240,149,110
20.370,150,122
20.500,150,140
20.610,149,159
20.720,148,175
20.830,147,194
20.950,146,210
21.060,146,209
21.170,146,209
21.290,146,210
21.400,147,217
21.520,149,222
21.640,151,224
21.750,151,224
21.870,151,224
21.990,150,225
22.090,147,232
22.210,149,252
22.320,152,272
22.440,154,290
22.550,153,302
22.670,155,312
22.780,155,317
22.900,162,319
23.010,175,325
23.120,183,326
23.250,193,328
23.350,194,327
23.470,194,325
23.590,198,323
23.700,204,322
23.820,220,317
23.930,233,314
24.040,244,312
24.160,257,311
24.270,266,313
24.380,282,313
24.500,291,316
24.610,304,318
24.730,315,320
24.850,334,324
24.960,349,323
25.080,369,323
25.190,381,320
25.320,398,317
25.430,405,317
25.530,408,318
25.640,407,317
25.760,406,317
25.870,408,316
25.980,409,315
26.100,410,314
26.220,407,316
26.330,407,316
26.450,409,318
26.570,414,320
26.690,417,323
26.800,419,324
26.910,419,324
27.030,420,323
27.140,422,323
27.250,421,324
27.360,421,325
27.480,423,326
27.600,423,326
27.720,421,325
27.830,413,322
27.940,410,323
28.070,412,318
28.180,418,305
28.300,420,294
28.420,421,277
28.540,422,268
28.650,425,247
28.770,427,230
28.890,427,212
29.000,427,195
29.120,428,171
29.240,429,155
29.350,428,145
29.470,428,136
29.580,427,123
29.700,425,108
29.820,422,91
29.930,421,80
30.040,422,68
30.160,424,63
30.270,423,59
30.380,423,59
30.490,425,60
30.610,425,60
30.730,425,58
30.850,426,56
30.970,426,54
31.080,425,54
31.200,426,54
31.310,426,54
31.420,425,57
31.540,422,61
31.660,421,61
31.780,420,56
31.890,418,55
32.000,411,54
32.120,403,51
32.230,397,49
32.350,376,47
32.470,360,48
32.580,339,49
32.690,324,49
32.810,311,49
32.920,318,50
33.030,318,49
33.140,310,48
33.250,294,47
33.360,274,49
33.480,252,52
33.590,236,53
33.700,219,54
33.810,201,56
33.930,195,56
34.040,183,61
34.150,177,68
34.270,170,74
34.390,169,75
34.510,167,78
34.620,166,77
34.740,164,75
34.850,160,74
34.970,155,73
35.080,152,71
35.190,152,71
35.300,150,70
35.420,148,70
35.530,148,70
35.650,149,68
35.770,151,65
35.880,151,65
36.000,150,63
36.120,149,59
36.240,149,58
36.350,151,61
36.450,151,65
36.570,149,69
36.680,146,73
36.790,148,76
36.910,151,83
37.030,153,89
37.140,157,92
37.250,162,98
37.380,170,107
37.480,174,114
37.590,181,121
37.710,187,129
37.820,193,135
37.920,200,143
38.040,208,153
38.150,219,167
38.270,229,179
38.380,232,187
38.500,236,197
38.610,239,212
38.720,242,222
38.840,243,232
38.950,243,243
39.060,241,253
39.180,234,273
39.300,228,283
39.410,221,286
39.530,211,288
39.640,198,290
39.750,185,290
39.860,179,289
39.990,172,288
40.100,166,289
40.220,165,289
40.330,165,290
40.450,165,291
40.560,165,292
40.680,167,292
40.790,169,293
40.900,168,296
41.010,161,303
41.140,157,313
41.250,153,319
41.370,155,315
41.480,154,317
41.590,154,317
41.710,157,317
41.820,158,322
41.930,158,324
42.050,158,325
42.160,158,327
42.270,158,328
42.390,158,328
42.510,158,326
42.630,157,325
42.750,156,324
42.860,155,324
42.980,154,324
43.100,152,326
43.210,152,327
43.320,152,328
43.440,153,328
43.550,153,327
43.670,152,326
43.790,152,326
43.910,153,325
44.030,153,325
44.140,153,325
44.260,156,323
44.380,159,317
44.490,161,314
44.600,165,314
44.710,173,313
44.820,184,313
44.940,197,311
45.050,206,310
45.170,223,311
45.280,235,311
45.400,251,312
45.510,275,314
45.620,294,316
45.730,313,318
45.850,339,319
45.970,360,320
46.090,373,318
46.200,385,314
46.320,396,309
46.440,403,306
46.550,410,304
46.670,417,302
46.780,417,301
46.890,418,301
47.000,419,302
47.120,419,302
47.230,419,304
47.350,420,305
47.470,423,305
47.580,423,306
47.690,425,304
47.810,426,303
47.920,426,303
48.030,421,304
48.140,417,304
48.270,415,300
48.380,414,293
48.490,414,282
48.610,413,265
48.720,411,251
48.830,410,230
48.940,411,213
49.060,413,195
49.170,418,171
49.280,422,153
49.400,424,133
49.510,426,108
49.630,426,90
49.740,426,77
49.850,428,70
49.960,426,69
50.080,424,69
50.200,421,68
50.310,418,66
50.420,417,67
50.540,417,64
50.650,416,61
50.760,415,62
50.890,415,64
51.000,416,66
51.120,417,66
51.250,412,67
51.360,402,68
51.470,386,71
51.580,373,72
51.690,361,74
51.800,347,75
51.920,332,78
52.030,319,82
52.150,308,85
52.280,298,87
52.380,293,86
52.510,292,85
52.620,288,80
52.740,276,74
52.860,266,71
52.980,249,67
53.090,236,66
53.210,233,66
53.330,235,68
53.450,238,66
53.560,239,64
53.680,240,64
53.800,240,65
53.920,244,65
54.040,248,62
54.150,250,60
54.270,260,54
54.380,265,52
54.500,271,52
54.620,270,51
54.730,270,50
54.850,269,49
54.970,270,49
55.070,270,50
55.190,271,52
55.300,277,52
55.420,288,52
55.540,311,55
55.660,335,58
55.780,354,60
55.900,376,64
56.010,387,68
56.130,394,73
56.240,404,81
56.360,409,89
56.480,418,96
56.590,421,97
56.710,423,97
56.820,423,96
56.940,423,95
57.050,415,93
57.160,414,91
57.280,418,87
57.390,420,84
57.510,416,87
57.620,417,93
57.740,422,108
57.860,424,124
57.980,426,149
58.090,427,173
58.200,428,185
58.320,427,210
58.430,427,230
58.550,427,244
58.660,426,258
58.770,423,279
58.900,419,298
59.010,413,311
59.120,403,317
59.240,397,320
59.350,397,322
59.460,398,322
59.570,400,323
59.690,400,325
59.800,400,326
59.920,401,325
60.040,400,320
60.150,400,317
60.260,397,317
60.380,387,318
60.490,377,319
60.610,369,318
60.730,359,317
60.840,343,316
60.950,330,316
61.070,311,316
61.180,297,318
61.290,278,321
61.400,267,324
61.510,244,326
61.630,230,325
61.750,228,326
61.860,233,325
61.970,239,327
62.080,240,327
62.200,240,327
62.310,240,326
62.420,241,325
62.540,241,325
62.650,240,322
62.760,240,321
62.870,239,320
62.990,237,323
63.100,232,323
63.210,228,324
63.330,215,325
63.440,205,325
63.560,188,323
63.680,178,321
63.800,169,317
63.910,161,317
64.020,159,317
64.140,158,319
64.250,156,320
64.370,154,320
64.490,153,323
64.600,153,323
64.710,157,321
64.830,162,318
64.950,162,315
65.060,159,308
65.170,156,296
65.290,158,284
65.400,158,278
65.520,159,264
65.640,159,248
65.760,159,228
65.880,158,212
66.000,157,189
66.120,156,170
66.240,154,147
66.360,151,131
66.480,151,114
66.590,151,108
66.710,152,107
66.830,157,103
66.950,160,97
67.080,167,92
67.180,172,85
67.300,176,81
67.410,178,78
67.520,181,75
67.640,187,69
67.750,194,69
67.870,201,70
67.980,210,71
68.100,220,77
68.210,227,84
68.320,232,91
68.440,239,101
68.550,245,110
68.660,250,120
68.770,260,136
68.900,272,152
69.010,282,164
69.120,291,174
69.230,298,182
69.340,305,187
69.450,313,197
69.570,321,205
69.690,327,212
69.800,332,217
69.920,336,225
70.040,343,232
70.160,344,235
70.280,343,234
70.390,345,235
70.510,354,239
70.630,360,241
70.750,363,245
70.860,364,249
70.960,369,262
71.080,372,273
71.200,376,283
71.320,378,285
71.440,379,289
71.560,380,290
71.680,387,299
71.790,394,305
71.920,397,307
72.040,398,310
72.160,398,308
72.270,397,308
72.390,397,308
72.510,398,308
72.620,399,307
72.740,398,305
72.860,398,305
72.970,398,308
73.090,399,315
