hora,dia1
12,0
12.1,1
12.2,2
12.3,0
12.4,0
12.5,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
15,0
15.1,2
15.2,33
15.3,226
15.4,32
15.5,0
16,0
16.1,357
16.2,348
16.3,131
16.4,401
16.5,262
17,261
17.1,399
17.2,430
17.3,31
17.4,35
17.5,156
18,174
18.1,34
18.2,424
18.3,0
18.4,132
18.5,304
19,235
19.1,235
19.2,255
19.3,0
19.4,89
19.5,217
20,320
20.1,121
20.2,1
20.3,0
20.4,117
20.5,143
21,139
21.1,86
21.2,12
21.3,8
21.4,0
21.5,1
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
23,0
23.1,0
23.2,0
23.3,0
23.4,0
23.5,0
0,0
0.1,0
0.2,125
0.3,0
0.4,6
0.5,159
1,1
1.1,0
1.2,187
1.3,131
1.4,286
1.5,106
2,311
2.1,125
2.2,0
2.3,164
2.4,45
2.5,41
3,5
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
6,0
6.1,0
6.2,0
6.3,1
6.4,2
6.5,3
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0
15.5,76
16,38
16.1,237
16.2,85
16.3,29
16.4,190
16.5,210
17,188
17.1,82
17.2,351
17.3,207
17.4,105
17.5,69
18,268
18.1,231
18.2,120
18.3,7
18.4,0
18.5,322
19,75
19.1,164
19.2,45
19.3,5
19.4,17
19.5,214
20,0
20.1,233
20.2,1
20.3,0
20.4,0
20.5,51
21,13
21.1,0
21.2,0
21.3,0
21.4,0
21.5,0
22,0
22.1,7
22.2,0
22.3,0
22.4,0
22.5,0
23,1
23.1,2
23.2,337
23.3,106
23.4,98
23.5,98
0,26
0.1,0
0.2,6
0.3,5
0.4,2
0.5,1
1,13
1.1,300
1.2,116
1.3,355
1.4,316
1.5,105
2,165
2.1,0
2.2,2
2.3,0
2.4,0
2.5,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
12,0
12.1,0
12.2,0
12.3,0
12.4,32
12.5,2
13,0
13.1,211
13.2,237
13.3,244
13.4,250
13.5,3
14,0
14.1,0
14.2,0
14.3,0
14.4,0
14.5,0
15,0
15.1,0
15.2,0
15.3,0
15.4,0
15.5,0
16,0
16.1,51
16.2,0
16.3,359
16.4,288
16.5,181
17,0
17.1,275
17.2,163
17.3,148
17.4,436
17.5,198
18,4
18.1,7
18.2,2
18.3,1
18.4,39
18.5,46
19,43
19.1,2
19.2,5
19.3,2
19.4,0
19.5,165
20,0
20.1,398
20.2,3
20.3,35
20.4,1
20.5,181
21,356
21.1,149
21.2,333
21.3,31
21.4,27
21.5,0
22,0
22.1,0
22.2,0
22.3,0
22.4,0
22.5,0
23,0
23.1,0
23.2,5
23.3,22
23.4,5
23.5,0
0,0
0.1,78
0.2,135
0.3,143
0.4,100
0.5,17
1,6
1.1,24
1.2,3
1.3,0
1.4,85
1.5,218
2,62
2.1,122
2.2,166
2.3,13
2.4,41
2.5,15
3,12
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,56
5,763
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
8,0
8.1,0
8.2,0
8.3,0
8.4,1
8.5,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
12,0
12.1,0
12.2,0
12.3,0
12.4,2
12.5,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
14,0
14.1,0
14.2,0
14.3,0
14.4,0
