,hora,X,0,1,2,3,4,5,6,7
112,8.4,0,NA,0,0,0,0,0,0,NA
113,8.5,0,NA,0,0,0,0,0,0,0
114,9,0,NA,0,0,0,0,0,0,0
115,9.1,0,NA,0,0,0,0,0,0,0
116,9.2,0,NA,0,0,0,0,0,0,0
117,9.3,0,NA,0,0,0,0,0,0,0
118,9.4,0,NA,0,0,0,0,0,0,0
119,9.5,0,NA,0,0,0,0,0,0,0
120,10,0,NA,0,0,0,0,0,0,0
121,10.1,0,NA,0,0,0,0,0,0,0
122,10.2,0,NA,0,0,0,0,0,0,0
123,10.3,0,NA,0,0,0,0,0,0,0
124,10.4,0,NA,0,0,0,0,0,0,0
125,10.5,0,NA,0,0,0,0,0,0,0
126,11,0,NA,0,0,0,0,0,0,0
127,11.1,0,NA,0,0,0,0,0,0,0
128,11.2,0,NA,0,0,0,0,0,0,0
129,11.3,0,NA,0,0,0,0,0,0,0
130,11.4,0,NA,0,0,0,0,0,0,0
131,11.5,0,NA,0,0,0,0,0,0,0
132,12,0,NA,0,0,0,0,0,0,0
133,12.1,0,NA,0,0,0,NA,0,0,0
134,12.2,0,NA,0,0,0,NA,0,0,0
135,12.3,0,NA,0,0,0,0,0,0,0
136,12.4,0,NA,0,0,0,0,0,NA,NA
137,12.5,0,NA,0,0,NA,0,0,NA,0
138,13,0,NA,0,0,NA,0,0,0,0
139,13.1,0,NA,0,0,0,0,0,NA,0
140,13.2,0,NA,0,0,0,0,0,NA,0
141,13.3,0,NA,0,0,0,0,0,NA,0
142,13.4,0,NA,0,0,0,0,0,NA,0
143,13.5,0,NA,0,0,0,0,0,NA,0
144,14,0,NA,0,0,0,0,0,0,0
145,14.2,0,NA,0,0,0,0,0,0,0
146,14.5,49,NA,49,NA,NA,NA,NA,NA,NA
147,15,145,NA,145,NA,NA,NA,NA,NA,NA
148,15.1,283,NA,283,NA,NA,NA,NA,NA,NA
149,15.2,159,NA,159,NA,NA,NA,NA,NA,NA
150,15.3,301,NA,301,NA,NA,NA,NA,NA,NA
151,15.4,100,NA,100,NA,NA,NA,NA,NA,NA
152,15.5,316,NA,316,NA,NA,NA,NA,NA,NA
153,16,275,NA,275,NA,NA,NA,NA,NA,NA
154,16.1,19,NA,19,NA,NA,NA,NA,NA,NA
155,16.2,232,NA,232,NA,NA,NA,NA,NA,NA
156,16.3,233,NA,233,NA,NA,NA,NA,NA,NA
157,16.4,342,NA,342,NA,NA,NA,NA,NA,NA
158,16.5,170,NA,170,NA,NA,NA,NA,NA,NA
159,17,5,NA,5,NA,NA,NA,NA,NA,NA
160,17.1,0,NA,0,0,NA,NA,NA,NA,NA
161,17.2,0,NA,0,0,NA,NA,NA,NA,NA
162,17.3,0,NA,0,0,NA,NA,NA,NA,NA
163,17.4,0,NA,0,0,NA,NA,NA,NA,NA
164,17.5,0,NA,0,0,NA,NA,NA,NA,NA
165,18,43,NA,43,NA,NA,NA,NA,NA,NA
166,18.1,315,NA,315,NA,NA,NA,NA,NA,NA
