,hora,X,0,1,2,3,4,5,6,7
469,16.5,181,NA,NA,NA,NA,NA,NA,181,NA
470,17,0,NA,NA,NA,NA,NA,NA,0,NA
471,17.1,275,NA,NA,NA,NA,NA,NA,275,NA
472,17.2,163,NA,NA,NA,NA,NA,NA,163,NA
473,17.3,148,NA,NA,NA,NA,NA,NA,148,NA
474,17.4,436,NA,NA,NA,NA,NA,NA,436,NA
475,17.5,198,NA,NA,NA,NA,NA,NA,198,NA
476,18,4,NA,NA,NA,NA,NA,NA,4,NA
477,18.1,7,NA,NA,NA,NA,NA,NA,7,NA
478,18.2,2,NA,NA,NA,NA,NA,NA,2,NA
479,18.3,1,NA,NA,NA,NA,NA,NA,1,NA
480,18.4,39,NA,NA,NA,NA,NA,NA,39,NA
481,18.5,46,NA,NA,NA,NA,NA,NA,46,NA
482,19,43,NA,NA,NA,NA,NA,NA,43,NA
483,19.1,2,NA,NA,NA,NA,NA,NA,2,NA
484,19.2,5,NA,NA,NA,NA,NA,NA,5,NA
485,19.3,2,NA,NA,NA,NA,NA,NA,2,NA
486,19.5,165,NA,NA,NA,NA,NA,NA,165,NA
487,20.1,398,NA,NA,NA,NA,NA,NA,398,NA
488,20.2,3,NA,NA,NA,NA,NA,NA,3,NA
489,20.3,35,NA,NA,NA,NA,NA,NA,35,NA
490,20.4,1,NA,NA,NA,NA,NA,NA,1,NA
491,20.5,181,NA,NA,NA,NA,NA,NA,181,NA
492,21,356,NA,NA,NA,NA,NA,NA,356,NA
493,21.1,149,NA,NA,NA,NA,NA,NA,149,NA
494,21.2,333,NA,NA,NA,NA,NA,NA,333,NA
495,21.3,31,NA,NA,NA,NA,NA,NA,31,NA
496,21.4,27,NA,NA,NA,NA,NA,NA,27,NA
497,23.2,5,NA,NA,NA,NA,NA,NA,5,NA
498,23.3,22,NA,NA,NA,NA,NA,NA,22,NA
499,23.4,5,NA,NA,NA,NA,NA,NA,5,NA
500,0.1,78,NA,NA,NA,NA,NA,NA,NA,78
501,0.2,135,NA,NA,NA,NA,NA,NA,NA,135
502,0.3,143,NA,NA,NA,NA,NA,NA,NA,143
503,0.4,100,NA,NA,NA,NA,NA,NA,NA,100
504,0.5,17,NA,NA,NA,NA,NA,NA,NA,17
505,1.1,24,NA,NA,NA,NA,NA,NA,NA,24
506,1.2,3,NA,NA,NA,NA,NA,NA,NA,3
507,1.4,85,NA,NA,NA,NA,NA,NA,NA,85
508,1.5,218,NA,NA,NA,NA,NA,NA,NA,218
509,2,62,NA,NA,NA,NA,NA,NA,NA,62
510,2.1,122,NA,NA,NA,NA,NA,NA,NA,122
511,2.2,166,NA,NA,NA,NA,NA,NA,NA,166
512,2.3,13,NA,NA,NA,NA,NA,NA,NA,13
513,2.4,41,NA,NA,NA,NA,NA,NA,NA,41
514,2.5,15,NA,NA,NA,NA,NA,NA,NA,15
515,3,12,NA,NA,NA,NA,NA,NA,NA,12
516,4.5,56,NA,NA,NA,NA,NA,NA,NA,56
517,5,763,NA,NA,NA,NA,NA,NA,NA,763
518,8.4,1,NA,NA,NA,NA,NA,NA,NA,1
519,12.4,2,NA,NA,NA,NA,NA,NA,NA,2
,,,,,,,,,,
,,,,,,,,,,
,,0,,,,,,,,
