Registro empezado el 2023/1/3 a las 14:7,,,,,,,,
Hora,Canal1,,,,,,,
06:30,,,0,,,,,
06:40,,,33,,,,,
06:50,,,0,,,,,
07:00,,,0,,,,,
07:10,,,0,,,,,
07:20,,,0,,,,,
07:30,,,0,,,,,
07:40,,,159,,,,,
07:50,,,76,,,,,
08:00,,,121,,,,,
08:10,,,0,,,,,
08:20,,,0,,,,,
08:30,,,0,,,,,
08:40,,,0,,,,,
08:50,,,0,,,,,
09:00,,,0,,,,,
09:10,,,0,,,,,
09:20,,,0,,,,,
09:30,,,0,,,,,
09:40,,,0,,,,,
09:50,,,0,,,,,
10:00,,,0,,,,,
10:10,,,0,,,,,
10:20,,,0,,,,,
10:30,,,0,,,,,
10:40,,,0,,,,,
10:50,,,0,,,,,
11:00,,,0,,,,,
11:10,,,0,,,,,
11:20,,,0,,,,,
11:30,,,0,,,,,
11:40,,,0,,,,,
11:50,,,0,,,,,
12:00,,,0,,,,,
12:10,,,0,,,,,
12:20,,,0,,,,,
12:30,,,0,,,,,
12:40,,,0,,,,,
12:50,,,0,,,,,
13:00,,,0,,,,,
13:10,,,0,,,,,
13:20,,,0,,,,,
13:30,,,0,,,,,
13:40,,,0,,,,,
13:50,,,0,,,,,
14:00,,,0,,,,,
14:10,,,0,,,,,
14:20,,,0,,,,,
14:30,,,0,,,,,
14:40,,,122,,,,,
14:50,,,126,,,,,
15:00,,,416,,,,,
15:10,,,14,,,,,
15:20,,,52,,,,,
15:30,,,323,,,,,
15:40,,,273,,,,,
15:50,,,139,,,,,
16:00,,,263,,,,,
16:10,,,235,,,,,
16:20,,,154,,,,,
16:30,,,189,,,,,
16:40,,,262,,,,,
16:50,,,331,,,,,
17:00,,,66,,,,,
17:10,,,0,,,,,
17:20,,,0,,,,,
17:30,,,0,,,,,
17:40,,,0,,,,,
17:50,,,0,,,,,
18:00,,,0,,,,,
18:10,,,0,,,,,
18:20,,,0,,,,,
18:30,,,0,,,,,
18:40,,,0,,,,,
18:50,,,0,,,,,
19:00,,,0,,,,,
19:10,,,43,,,,,
19:20,,,249,,,,,
19:30,,,6,,,,,
19:40,,,268,,,,,
19:50,,,180,,,,,
20:00,,,1,,,,,
20:10,,,424,,,,,
20:20,,,75,,,,,
20:30,,,0,,,,,
20:40,,,0,,,,,
20:50,,,0,,,,,
21:00,,,0,,,,,
21:10,,,1,,,,,
21:20,,,0,,,,,
21:30,,,0,,,,,
21:40,,,43,,,,,
21:50,,,163,,,,,
22:00,,,279,,,,,
22:10,,,104,,,,,
22:20,,,80,,,,,
22:30,,,7,,,,,
22:40,,,117,,,,,
22:50,,,279,,,,,
23:00,,,323,,,,,
23:10,,,6,,,,,
23:20,,,0,,,,,
23:30,,,308,,,,,
23:40,,,89,,,,,
23:50,,,93,,,,,
00:00,,,,90,,,,
00:10,,,,252,,,,
00:20,,,,7,,,,
00:30,,,,287,,,,
00:40,,,,25,,,,
00:50,,,,10,,,,
01:00,,,,17,,,,
01:10,,,,2,,,,
01:20,,,,0,,,,
01:30,,,,0,,,,
01:40,,,,1,,,,
01:50,,,,0,,,,
02:00,,,,0,,,,
02:10,,,,0,,,,
02:20,,,,6,,,,
02:30,,,,75,,,,
02:40,,,,271,,,,
02:50,,,,201,,,,
03:00,,,,151,,,,
03:10,,,,153,,,,
03:20,,,,179,,,,
03:30,,,,0,,,,
03:40,,,,33,,,,
03:50,,,,0,,,,
04:00,,,,0,,,,
04:10,,,,0,,,,
04:20,,,,0,,,,
04:30,,,,0,,,,
04:40,,,,0,,,,
04:50,,,,0,,,,
05:00,,,,0,,,,
05:10,,,,0,,,,
05:20,,,,0,,,,
05:30,,,,0,,,,
05:40,,,,0,,,,
05:50,,,,0,,,,
06:00,,,,0,,,,
06:10,,,,0,,,,
06:20,,,,0,,,,
06:30,,,,0,,,,
06:40,,,,0,,,,
06:50,,,,0,,,,
07:00,,,,0,,,,
07:10,,,,2,,,,
07:20,,,,0,,,,
07:30,,,,0,,,,
07:40,,,,0,,,,
07:50,,,,0,,,,
08:00,,,,0,,,,
08:10,,,,0,,,,
08:20,,,,0,,,,
08:30,,,,0,,,,
08:40,,,,0,,,,
08:50,,,,0,,,,
09:00,,,,0,,,,
09:10,,,,0,,,,
09:20,,,,0,,,,
09:30,,,,0,,,,
09:40,,,,0,,,,
09:50,,,,0,,,,
10:00,,,,0,,,,
10:10,,,,0,,,,
10:20,,,,0,,,,
10:30,,,,0,,,,
10:40,,,,0,,,,
10:50,,,,0,,,,
11:00,,,,0,,,,
11:10,,,,0,,,,
11:20,,,,0,,,,
11:30,,,,0,,,,
11:40,,,,0,,,,
11:50,,,,0,,,,
12:00,,,,0,,,,
12:10,,,,0,,,,
12:20,,,,0,,,,
12:30,,,,0,,,,
12:40,,,,0,,,,
12:50,,,,67,,,,
13:00,,,,8,,,,
13:10,,,,0,,,,
13:20,,,,0,,,,
13:30,,,,0,,,,
13:40,,,,0,,,,
13:50,,,,0,,,,
14:00,,,,0,,,,
14:10,,,,0,,,,
14:20,,,,0,,,,
14:30,,,,0,,,,
14:40,,,,0,,,,
14:50,,,,0,,,,
15:00,,,,0,,,,
15:10,,,,0,,,,
15:20,,,,0,,,,
15:30,,,,189,,,,
15:40,,,,217,,,,
15:50,,,,349,,,,
16:00,,,,360,,,,
16:10,,,,53,,,,
16:20,,,,382,,,,
16:30,,,,149,,,,
16:40,,,,339,,,,
16:50,,,,111,,,,
17:00,,,,1,,,,
17:10,,,,377,,,,
17:20,,,,7,,,,
17:30,,,,9,,,,
17:40,,,,11,,,,
17:50,,,,106,,,,
18:00,,,,433,,,,
18:10,,,,169,,,,
18:20,,,,435,,,,
18:30,,,,288,,,,
18:40,,,,326,,,,
18:50,,,,473,,,,
19:00,,,,320,,,,
19:10,,,,398,,,,
19:20,,,,16,,,,
19:30,,,,359,,,,
19:40,,,,240,,,,
19:50,,,,335,,,,
