"","Track_ID","_TargetID","_Day","_Trial","_Arena","Probe","Sexo","tratamiento","strategy","name","confidence","1","2","3","4","5","6","7","8","9","path.length","mean.velocity","sd.velocity","total.time","latency.to.goal","goal.crossings","old.goal.crossings","coverage","mean.d.centroid","mean.d.goal","mean.d.old.goal","mean.d.origin","sd.d.centroid","sd.d.goal","sd.d.old.goal","sd.d.origin","centroid.goal.displacement","centroid.old.goal.displacement","mean.initial.heading.error","initial.trajectory.error","initial.reversal.error","turning","turning.absolute","efficiency","roaming.entropy","time.in.zone.pool","time.in.zone.wall","time.in.zone.far.wall","time.in.zone.annulus","time.in.zone.goal","time.in.zone.old.goal","time.in.zone.n.quadrant","time.in.zone.e.quadrant","time.in.zone.s.quadrant","time.in.zone.w.quadrant"
"fluoxetina_grupo1_26","fluoxetina_grupo1_26","3a","2","3","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",6,"directed search",0.47,0.032,0.106,0.012,0.244,0.012,0.47,0.11,0,0,242.960636602373,23.1226363720589,7.91979434218608,10.6122,NA,0,0,0.0633446833011654,26.7141078912204,54.3858819037185,NA,32.0517230585588,11.262065542159,23.388429106372,NA,15.3834222566653,50.3583297702344,NA,NA,41.8209892283767,NA,0.0504454236258687,0.302514917172259,0,0.652770622828968,60,8.57142857142857,19.2857142857143,6.42857142857143,0,0,31.0714285714286,16.0714285714286,10.7142857142857,2.14285714285714
"fluoxetina_grupo1_27","fluoxetina_grupo1_27","3a","2","4","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",6,"directed search",0.504,0.006,0.076,0.006,0.14,0.026,0.504,0.238,0,0,166.46691660554,21.2967534254577,9.64934437738514,7.8402,NA,0,0,0.0713374148132165,24.873420880631,32.733198523214,NA,35.6436470188538,13.2019736793235,11.844522774988,NA,14.1612636942419,19.8533262007649,NA,87.3945389940457,26.0459410281142,NA,0.0515034323227229,0.348609757100386,0,0.651944727033591,60,15.8333333333333,9.16666666666667,11.6666666666667,0,0,0,33.3333333333333,20.8333333333333,5.83333333333333
"fluoxetina_grupo1_28","fluoxetina_grupo1_28","4a","2","1","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",1,"thigmotaxis",0.51,0.51,0.126,0.066,0.266,0.006,0.014,0.002,0,0,1256.41384882929,21.1787635421443,10.4060261555364,59.598,NA,0,0,0.306425643492528,36.7963113049748,69.7063787472464,NA,46.2091389043056,13.9814422429399,19.2426374400069,NA,12.0880250833996,60.677182580095,NA,63.1638079341415,77.9830456445502,NA,-0.00147237754256602,0.59394269637115,0,0.836614162676061,59.445471349353,34.0480591497227,12.3105360443623,6.09981515711645,0,0,27.9482439926063,20.6284658040665,3.65988909426987,7.20887245841035
"fluoxetina_grupo1_29","fluoxetina_grupo1_29","4a","2","2","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",7,"corrected search",0.452,0.036,0.016,0.016,0.05,0.012,0.37,0.452,0.048,0,106.155464917299,17.6263061502648,9.74456790261767,5.94,6.228,1,0,0.0388069001222778,11.8785925198654,23.1768951259326,NA,51.3107420495962,7.24046369110759,10.1709150901162,NA,5.51881091256023,21.3819336571761,NA,48.8667591510775,26.7547618939134,NA,-0.00289677887087139,1.09788138866706,7.69230769230769,0.554360295629116,60,45.8823529411765,10.5882352941176,3.52941176470588,3.52941176470588,0,0,7.05882352941176,52.9411764705882,0
"fluoxetina_grupo1_30","fluoxetina_grupo1_30","4a","2","3","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",1,"thigmotaxis",0.5,0.5,0.196,0.13,0.134,0.024,0.014,0.002,0,0,869.351557180205,21.6357217225432,21.7036534382667,43.782,NA,0,0,0.0689297870513624,41.5892104659993,45.8418464096277,NA,45.2723533828398,14.2855924378919,23.6512682811315,NA,11.6091251617121,26.9043941655798,NA,88.9416602331032,77.0104801179683,NA,-0.000307098848366995,0.477685386347124,0,0.806864368060962,57.421875,29.765625,7.5,11.25,0,0,7.265625,8.671875,22.03125,19.453125
"fluoxetina_grupo1_31","fluoxetina_grupo1_31","4a","2","4","Arena_NE.txt","FALSE","masculino","CUMS_Fluox",7,"corrected search",0.386,0.106,0.06,0.026,0.078,0.018,0.262,0.386,0.064,0,70.2739018420173,20.1296775100643,8.81038374359507,3.4998,NA,0,0,0.0409716441157806,15.8557281555648,24.3892511149149,NA,52.8492471104286,4.66671989715523,10.4340282086743,NA,6.37205907015502,21.0547492350672,NA,57.1337854773798,28.9750238653914,NA,-0.0813157558996752,0.494791955593189,14.2857142857143,0.537578577748378,60,46.4516129032258,11.6129032258065,1.93548387096774,0,0,0,0,60,0
"fluoxetina_grupo1_32","fluoxetina_grupo1_32","1b","2","1","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",1,"thigmotaxis",0.804,0.804,0.052,0.104,0.028,0.01,0,0,0,0,1300.07153197118,21.8606124865849,10.9660574169722,59.56998,NA,0,0,0.875864659541884,41.0407043347482,66.9511383303485,NA,49.1091372117043,15.516843055617,19.0480553878026,NA,10.0253763936185,54.0393711011726,NA,37.4959757995664,69.3747058227997,NA,-0.00147488451599889,0.481472550530712,12.9032258064516,0.833300884648011,59.4413407821229,39.3296089385475,10.0558659217877,5.36312849162011,0,0,20.7821229050279,28.8268156424581,2.90502793296089,6.92737430167598
"fluoxetina_grupo1_33","fluoxetina_grupo1_33","1b","2","2","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",4,"scanning",0.26,0.254,0.174,0.03,0.26,0.022,0.234,0.02,0.002,0,542.810959094083,18.4551356457891,9.83332303041795,29.772,30.972,1,0,0.0488568752256913,31.7237022889741,34.5241164542594,NA,46.5436076238918,15.0715224060287,17.2568072248241,NA,12.605293392992,16.0616074631181,NA,121.521686891213,33.9507832604787,NA,-6.31532624384421e-05,0.716195575107601,0,0.755162053218862,57.3033707865169,29.8876404494382,9.66292134831461,12.8089887640449,0.224719101123595,0,0,24.2696629213483,33.0337078651685,0
"fluoxetina_grupo1_34","fluoxetina_grupo1_34","1b","2","3","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",6,"directed search",0.452,0.032,0.142,0.008,0.23,0.018,0.452,0.112,0,0,213.261793895726,15.2391535967456,9.00514113256834,13.98198,14.412,1,0,0.11262009593357,24.1974053889251,67.499972144158,NA,39.9358180444092,11.7246761814428,21.7824097040854,NA,15.4050996422455,65.7472746966181,NA,38.2542220039165,58.9057070579753,NA,0.0312557642797238,1.10635350740891,29.4117647058824,0.674537112818013,60,25.78125,10.3125,7.5,0.46875,0,37.03125,16.40625,6.5625,0
"fluoxetina_grupo1_35","fluoxetina_grupo1_35","1b","2","4","Arena_NE.txt","FALSE","masculino","CUMS_ctrl",4,"scanning",0.238,0.222,0.228,0.208,0.238,0.044,0.06,0,0,0,814.001308542682,18.226077826533,7.89163144576229,44.718,NA,0,0,0.715207804468553,38.3277078817186,39.8940417190953,NA,41.9465079352474,15.8488709244301,24.4108467210501,NA,13.08016283893,21.5398687923055,NA,40.1666514455762,19.26788011173,NA,-0.00766726560843851,0.273660441141278,29.4117647058824,0.838025002980867,58.679706601467,25.0855745721271,10.8557457212714,9.68215158924205,0,0,12.1760391198044,6.45476772616137,28.7530562347188,11.2958435207824
