Time,X,Y
0.06,98.56,17.25
0.12,99.61,19.61
0.18,100.65,21.7
0.24,100.92,23.009999999999998
0.29,101.96000000000001,25.36
0.35,102.47999999999999,27.97
0.41,102.75,29.54
0.47,102.75,31.9
0.53,103.00999999999999,34.510000000000005
0.59,102.75,37.12
0.64,102.75,38.17
0.7,102.47999999999999,40.519999999999996
0.75,101.7,42.88
0.81,100.92,44.44
0.87,100.13,45.75
0.93,98.56,47.06
0.98,97.78,47.839999999999996
1.04,95.69,48.89
1.1,93.86,49.410000000000004
1.16,92.03,49.93
1.21,91.24,49.93
1.27,89.41,49.93
1.32,87.84,49.93
1.37,86.8,49.67
1.44,85.22999999999999,48.89
1.49,83.92,47.839999999999996
1.55,82.61,46.54
1.61,81.83,45.75
1.66,80.78,44.44
1.72,80.0,42.61
1.77,79.47999999999999,41.57
1.84,78.69,40.0
1.9,77.91,38.43
1.96,77.65,36.339999999999996
2.01,77.65,34.510000000000005
2.08,77.91,32.94
2.14,78.17,31.9
2.2,78.69,30.330000000000002
2.26,79.74,28.76
2.32,81.05,27.45
2.38,81.83,26.93
2.43,83.14,25.619999999999997
2.49,84.71000000000001,24.580000000000002
2.55,85.75,24.31
2.61,87.58,23.53
2.67,89.41,23.009999999999998
2.73,91.24,22.48
2.79,93.07000000000001,21.96
2.84,94.12,21.96
2.9,96.21000000000001,21.7
2.96,98.3,21.44
3.02,100.39,21.44
3.08,101.44,21.44
3.14,103.79,21.7
3.2,105.88,22.22
3.25,107.19000000000001,22.48
3.31,109.28,22.75
3.37,111.37,23.27
3.43,113.46,23.79
3.49,116.08,24.31
3.55,118.17,24.84
3.61,119.22,25.36
3.66,121.30999999999999,26.139999999999997
3.72,122.35,26.410000000000004
3.78,124.71,27.189999999999998
3.84,127.05999999999999,27.97
3.9,129.15,28.76
3.96,131.24,29.54
4.02,132.55,30.07
4.07,134.64000000000001,31.369999999999997
4.13,136.47,32.42
4.19,137.25,32.94
4.24,138.56,34.25
4.3,139.60999999999999,35.82
4.36,140.39000000000001,37.65
4.41,140.65,38.43
4.47,141.18,40.0
4.53,141.7,41.31
4.59,141.7,43.14
4.65,141.44,43.92
4.7,140.92000000000002,45.230000000000004
4.76,140.39000000000001,46.54
4.82,140.13,46.8
4.88,139.35,47.32
4.95,138.3,47.839999999999996
5.01,137.25,47.839999999999996
5.06,136.73,47.839999999999996
5.12,135.69,47.58
5.17,135.16,47.58
5.23,133.85999999999999,47.32
5.29,133.32999999999998,47.06
5.35,132.03,46.8
5.41,130.98,46.010000000000005
5.47,129.93,45.489999999999995
5.53,129.41,44.97
5.59,128.63,43.92
5.66,127.58,42.61
5.72,126.8,41.57
5.78,126.27000000000001,40.78
5.84,126.00999999999999,40.0
5.89,125.75,39.22
5.95,125.49000000000001,38.95
6.01,125.22999999999999,38.43
6.06,124.71,38.17
6.12,124.17999999999999,38.17
6.18,123.4,38.17
6.24,122.60999999999999,38.43
6.31,122.35,38.43
