Time,X,Y
0.07,74.25,26.93
0.13,73.99,27.45
0.19,73.2,28.5
0.25,72.67999999999999,29.54
0.3,72.42,30.07
0.36,71.9,31.110000000000003
0.42,71.37,32.42
0.47,70.59,33.730000000000004
0.52,70.33,34.25
0.59,69.8,35.29
0.65,69.28,36.6
0.71,68.76,37.910000000000004
0.77,68.24,39.22
0.82,67.97,39.739999999999995
0.88,67.45,41.31
0.93,67.19,41.83
0.99,66.67,43.14
1.05,66.41,44.44
1.11,65.62,45.75
1.17,65.1,47.06
1.23,64.58,48.37
1.29,64.31,49.15
1.36,63.79,50.46
1.42,63.27,51.760000000000005
1.48,62.75,53.07000000000001
1.53,62.48,53.86
1.59,61.96,55.160000000000004
1.65,61.7,56.21
1.71,61.44,57.25
1.77,61.17999999999999,57.779999999999994
1.82,60.92,58.82000000000001
1.88,60.92,59.870000000000005
1.93,60.92,60.39
1.99,60.92,61.44
2.05,60.92,62.48
2.1,60.92,63.010000000000005
2.16,60.92,64.31
2.21,60.92,65.62
2.27,60.92,66.92999999999999
2.33,60.92,67.45
2.38,60.92,68.76
2.44,61.17999999999999,69.53999999999999
2.5,61.17999999999999,70.85
2.55,61.17999999999999,72.42
2.6,61.17999999999999,73.72999999999999
2.66,61.44,74.25
2.72,61.44,75.56
2.78,61.44,76.08
2.84,61.44,77.12
2.89,61.44,78.42999999999999
2.95,61.7,79.47999999999999
3.01,61.96,80.78
3.07,61.96,81.83
3.13,62.220000000000006,83.14
3.19,62.220000000000006,83.66
3.24,62.48,84.44
3.3,62.48,85.75
3.36,62.75,86.8
3.41,63.010000000000005,88.1
3.47,63.010000000000005,89.15
3.53,63.010000000000005,89.67
3.59,63.27,90.72
3.65,63.27,91.5
3.71,63.27,92.03
3.77,63.27,92.28999999999999
3.82,63.79,92.55
3.88,64.05,92.81
3.93,64.31,93.07000000000001
3.99,64.58,93.33
4.05,65.1,93.59
4.11,65.1,93.59
4.17,65.62,93.86
4.22,66.41,94.38
4.28,66.67,94.64
4.33,67.19,94.9
4.39,67.97,95.16
4.45,68.5,95.69
4.51,68.76,95.69
4.56,69.53999999999999,96.21000000000001
4.62,70.07000000000001,96.47
4.67,70.59,96.72999999999999
4.73,71.37,96.99
4.78,72.16,97.52000000000001
4.84,72.42,97.78
4.9,73.2,98.03999999999999
4.96,73.72999999999999,98.56
5.02,74.51,98.82000000000001
5.07,74.51,99.08
5.12,75.03,99.35
5.18,75.56,99.35
5.24,75.82000000000001,99.61
5.3,76.34,99.61
5.36,76.86,99.61
5.42,77.39,99.61
5.48,77.65,99.61
5.54,78.17,99.61
5.6,78.69,99.61
5.65,79.22,99.61
5.72,80.0,99.61
5.78,80.78,99.61
5.83,81.05,99.35
5.89,82.09,99.35
5.95,82.88,99.08
6.01,83.4,98.82000000000001
6.07,84.44,98.82000000000001
6.12,85.49,98.56
6.18,86.27000000000001,98.56
6.24,86.8,98.3
6.3,87.84,98.3
6.36,88.89,98.03999999999999
6.41,89.92999999999999,98.03999999999999
6.47,90.46000000000001,97.78
6.53,91.76,97.78
6.58,92.28999999999999,97.78
6.65,93.59,97.52000000000001
6.7,94.64,97.52000000000001
6.76,95.69,97.52000000000001
6.81,96.99,97.52000000000001
6.87,97.78,97.52000000000001
6.93,98.82000000000001,97.52000000000001
6.99,100.13,97.52000000000001
7.05,100.65,97.52000000000001
7.1,101.96000000000001,97.78
7.16,103.53,97.78
7.22,104.58,98.03999999999999
7.28,105.88,98.03999999999999
7.35,106.41,98.03999999999999
7.41,107.45,98.3
7.47,108.5,98.56
7.52,109.54,98.56
7.58,110.07000000000001,98.56
7.64,110.33,98.56
7.71,110.59,98.56
7.76,110.85,99.08
7.83,111.37,99.35
7.89,111.63,99.61
7.94,111.9,99.61
8.0,111.9,99.61
8.05,112.16,99.61
8.11,112.42,99.61
8.17,112.42,99.61
8.22,112.42,99.61
8.28,112.42,99.61
8.34,112.42,99.61
8.4,112.42,99.61
8.46,112.42,99.35
8.51,112.16,99.35
8.57,112.16,99.08
8.62,111.9,98.82000000000001
8.68,111.9,98.56
8.74,111.63,98.3
8.8,111.37,97.52000000000001
8.85,111.37,97.52000000000001
8.91,111.10999999999999,96.99
8.97,110.85,96.21000000000001
9.03,110.59,95.69
9.08,110.33,95.16
9.14,110.33,94.9
9.19,110.07000000000001,94.64
9.26,109.8,94.38
9.32,109.54,94.12
9.38,109.28,93.86
9.43,109.02000000000001,93.59
9.49,108.5,93.33
9.55,108.5,93.07000000000001
9.61,107.97,92.55
9.66,107.71,91.76
9.72,107.45,91.5
9.78,107.19000000000001,90.72
9.84,106.67,89.92999999999999
9.9,106.14000000000001,89.15
9.95,105.62,88.63
10.01,105.35999999999999,88.1
10.07,104.84,87.32000000000001
10.13,104.05,86.27000000000001
10.18,103.79,86.01
