Time,X,Y
0.14,72.0,68.8
0.26,72.0,65.6
0.37,71.47,61.33
0.48,71.47,59.73
0.59,70.92999999999999,55.470000000000006
0.69,71.47,53.870000000000005
0.8,71.47,50.13
0.91,72.0,46.4
1.03,72.53,44.8
1.14,74.67,42.13
1.24,76.8,40.0
1.35,77.87,38.93
1.47,81.07000000000001,36.8
1.58,83.72999999999999,34.13
1.68,84.8,33.6
1.79,88.0,31.47
1.9,91.2,29.869999999999997
2.01,92.8,28.8
2.12,97.07000000000001,27.2
2.22,98.67,26.669999999999998
2.33,102.4,25.6
2.45,106.13,25.07
2.56,107.72999999999999,25.07
2.66,110.92999999999999,26.130000000000003
2.78,114.13,27.73
2.88,115.72999999999999,28.8
2.99,118.4,30.93
3.1,121.6,33.07
3.2,123.2,34.67
3.32,125.87,36.8
3.43,127.47,37.87
3.54,130.67000000000002,40.53
3.65,133.32999999999998,43.2
3.76,134.4,44.8
3.87,136.53,48.0
3.98,138.13,50.67
4.1,138.67000000000002,52.8
4.2,138.67000000000002,56.529999999999994
4.31,138.67000000000002,59.73
4.42,138.67000000000002,61.870000000000005
4.53,138.13,65.07000000000001
4.64,137.07,68.8
4.74,136.53,70.92999999999999
4.85,136.0,74.67
4.96,135.47,76.8
5.07,134.93,80.53
5.17,134.4,82.67
5.29,133.87,86.92999999999999
5.39,132.8,90.67
5.51,131.2,94.4
5.62,130.67000000000002,96.53
5.73,128.53,99.2
5.84,125.87,101.87
5.95,124.27000000000001,102.92999999999999
6.06,121.6,104.53
6.17,120.0,105.6
6.28,116.27000000000001,106.13
6.39,112.53,106.67
6.49,110.4,107.2
6.6,106.67,108.27000000000001
6.71,102.92999999999999,109.33
6.83,100.8,109.87
6.93,97.07000000000001,110.92999999999999
7.04,93.33,112.53
7.16,91.72999999999999,113.07000000000001
7.26,88.53,114.67
7.37,86.92999999999999,115.2
7.47,83.72999999999999,115.72999999999999
7.58,80.53,116.27000000000001
7.68,78.92999999999999,116.27000000000001
7.8,76.27000000000001,115.72999999999999
7.92,74.67,114.67
8.03,74.13,113.6
8.13,73.6,110.4
8.24,73.6,107.2
8.35,73.6,105.6
8.46,73.6,101.87
8.58,74.13,98.13
8.69,74.67,96.53
8.8,75.72999999999999,92.8
8.9,77.33,89.07000000000001
9.02,78.4,87.47
9.13,80.0,84.27000000000001
9.24,81.6,80.53
9.35,82.67,78.92999999999999
9.45,84.27000000000001,74.67
9.56,84.8,73.07000000000001
9.67,86.4,68.8
9.78,88.0,65.07000000000001
9.89,88.53,62.92999999999999
10.01,89.6,58.67
10.12,91.2,54.4
10.22,91.72999999999999,52.8
10.33,93.33,48.53
10.44,94.4,44.269999999999996
10.55,95.47,42.13
10.65,97.07000000000001,37.87
10.76,97.6,36.269999999999996
10.87,99.72999999999999,32.0
10.98,101.87,28.27
11.09,102.92999999999999,26.669999999999998
11.2,105.07000000000001,22.93
11.31,107.2,20.8
11.42,108.8,20.27
11.53,112.0,19.73
11.64,113.6,19.73
11.75,116.8,20.8
11.86,120.0,22.93
11.97,121.07000000000001,24.0
12.07,124.27000000000001,26.130000000000003
12.19,126.92999999999999,28.8
12.3,128.0,29.869999999999997
12.41,131.2,32.0
12.52,134.4,34.13
12.63,136.53,34.67
12.73,139.73,36.269999999999996
12.84,141.87,37.33
12.96,142.93,37.33
13.07,142.93,37.87
13.17,142.4,37.87
13.28,141.87,38.4
13.4,141.32999999999998,38.4
13.5,141.32999999999998,38.4
13.61,141.32999999999998,37.33
13.72,140.8,35.730000000000004
13.83,139.73,35.2
13.94,138.13,33.07
14.04,135.47,31.47
14.15,134.4,30.93
14.27,130.67000000000002,29.869999999999997
14.38,127.47,29.330000000000002
14.49,125.87,28.8
14.61,122.13,28.8
14.72,117.87,28.27
14.82,116.27000000000001,28.8
14.94,112.0,28.8
15.05,109.87,28.8
15.16,106.13,28.8
15.27,102.4,29.330000000000002
15.38,98.67,29.869999999999997
15.49,96.53,29.869999999999997
15.6,92.27000000000001,29.869999999999997
15.71,88.53,30.4
15.82,86.4,30.4
15.93,82.67,30.93
16.04,80.53,31.47
16.14,76.8,32.53
16.26,73.07000000000001,33.6
16.37,71.47,34.67
16.47,68.27000000000001,36.8
16.58,67.2,38.4
16.69,65.6,41.07
16.8,65.07000000000001,44.269999999999996
16.92,65.6,46.93
17.03,66.13,48.53
17.14,67.2,51.2
17.24,69.33,53.33
17.35,70.4,54.4
17.46,73.6,56.0
17.57,74.67,56.529999999999994
17.68,78.4,57.6
17.79,81.07000000000001,58.129999999999995
17.9,83.2,58.67
18.0,86.4,59.2
18.11,90.13,59.73
18.21,92.27000000000001,60.27
18.33,96.0,60.8
18.44,97.6,61.33
18.55,101.87,62.4
