Time,X,Y
0.12,36.8,73.07000000000001
0.23,36.8,72.0
0.33,37.33,69.33
0.45,38.4,66.13
0.56,38.93,64.53
0.67,40.0,61.33
0.78,42.67,58.129999999999995
0.89,43.730000000000004,56.529999999999994
1.0,46.4,53.33
1.11,48.0,52.27
1.22,50.67,49.07
1.33,53.33,46.4
1.44,54.92999999999999,45.33
1.55,57.6,42.13
1.66,60.27,39.47
1.77,61.870000000000005,37.87
1.88,64.53,35.730000000000004
1.98,67.72999999999999,33.07
2.09,68.8,31.47
2.2,72.0,29.330000000000002
2.31,73.6,27.73
2.42,76.27000000000001,25.6
2.53,78.92999999999999,23.47
2.64,80.0,22.4
2.75,82.67,21.330000000000002
2.86,85.33,21.330000000000002
2.97,86.4,21.330000000000002
3.08,88.53,22.93
3.19,90.67,25.07
3.31,91.72999999999999,26.130000000000003
3.42,93.33,28.8
3.52,94.92999999999999,31.47
3.63,96.0,33.07
3.74,98.13,35.730000000000004
3.85,98.67,37.33
3.96,100.8,40.0
4.07,102.4,42.67
4.17,103.47,43.730000000000004
4.28,105.07000000000001,46.4
4.39,106.67,49.07
4.51,107.2,50.67
4.62,108.27000000000001,53.33
4.73,108.27000000000001,56.529999999999994
4.84,107.72999999999999,57.6
4.95,106.67,60.8
5.05,105.07000000000001,63.470000000000006
5.17,103.47,64.0
5.28,100.8,65.6
5.39,99.2,66.13
5.5,96.0,66.13
5.61,93.33,66.13
5.72,90.67,65.07000000000001
5.83,89.6,64.0
5.94,88.53,62.4
6.05,87.47,59.73
6.16,87.47,58.129999999999995
6.26,87.47,55.470000000000006
6.37,87.47,53.870000000000005
6.47,87.47,50.67
6.59,88.0,47.47
6.71,88.0,45.87
6.82,88.53,42.67
6.94,89.07000000000001,39.47
7.05,90.13,38.4
7.15,91.72999999999999,36.269999999999996
7.26,94.4,34.67
7.38,95.47,33.6
7.49,98.13,32.53
7.6,100.27000000000001,32.53
7.71,101.87,32.53
7.82,104.53,33.6
7.93,106.67,34.67
8.04,107.72999999999999,35.2
8.16,109.87,37.33
8.27,111.47,38.4
8.38,112.0,38.93
8.49,112.53,40.0
8.59,113.07000000000001,41.07
8.7,113.6,41.07
8.81,113.6,41.07
8.92,113.07000000000001,41.07
9.03,113.6,41.07
9.15,113.07000000000001,41.07
9.25,113.07000000000001,41.07
9.36,113.6,41.07
