Time,X,Y
0.04,46.54,57.52
0.1,44.71,60.129999999999995
0.16,39.739999999999995,64.31
0.3,48.1,49.15
0.36,48.37,47.839999999999996
0.41,48.37,47.06
0.48,48.63,44.97
0.53,48.63,42.61
0.59,48.89,39.739999999999995
0.64,48.89,38.95
0.7,49.410000000000004,36.08
0.76,49.67,33.730000000000004
0.82,49.93,32.42
0.87,50.72,29.8
0.93,51.760000000000005,27.45
0.99,52.81,25.36
1.05,54.379999999999995,23.27
1.11,55.160000000000004,22.48
1.17,56.73,20.65
1.22,58.56,18.82
1.28,59.61,18.04
1.34,61.7,16.21
1.4,63.529999999999994,14.64
1.46,65.36,13.330000000000002
1.52,67.45,12.809999999999999
1.57,68.24,12.290000000000001
1.63,70.33,12.55
1.69,72.67999999999999,13.069999999999999
1.75,73.72999999999999,13.330000000000002
1.81,75.82000000000001,14.12
1.86,77.91,14.9
1.92,78.69,15.419999999999998
1.98,81.05,16.73
2.03,82.88,17.78
2.09,84.97,19.080000000000002
2.15,86.27000000000001,19.869999999999997
2.2,88.1,20.919999999999998
2.26,90.46000000000001,22.22
2.32,91.5,23.009999999999998
2.38,93.86,24.05
2.43,95.95,25.36
2.49,98.03999999999999,26.669999999999998
2.55,99.08,27.189999999999998
2.61,101.44,28.5
2.66,103.79,29.8
2.72,104.84,30.330000000000002
2.77,106.92999999999999,31.630000000000003
2.83,109.28,32.68
2.89,110.85,33.46
2.95,111.37,33.730000000000004
3.0,112.16,34.25
3.06,113.46,34.510000000000005
3.12,113.99000000000001,34.769999999999996
3.17,115.29,35.56
3.23,116.08,35.56
3.3,116.85999999999999,35.29
3.35,117.39000000000001,35.29
3.41,117.91,35.56
3.47,118.17,35.56
3.53,118.95,35.29
3.59,118.95,35.03
3.64,119.22,34.510000000000005
3.7,119.74000000000001,34.510000000000005
3.76,120.25999999999999,33.989999999999995
3.82,120.52000000000001,33.989999999999995
3.88,120.0,33.989999999999995
3.93,119.22,34.510000000000005
3.99,118.69000000000001,35.29
4.05,118.42999999999999,35.29
4.11,118.69000000000001,35.82
4.16,118.69000000000001,36.339999999999996
