Time,X,Y
0.56,145.6,44.8
0.67,144.53,46.93
0.78,144.0,48.0
0.89,144.0,48.0
1.0,144.0,48.53
1.11,146.13,49.07
1.21,146.67000000000002,50.67
1.32,147.2,51.2
1.44,147.73,52.8
1.55,148.27,53.870000000000005
1.66,148.27,55.470000000000006
1.77,147.73,58.129999999999995
1.87,147.73,60.27
1.98,147.2,62.92999999999999
2.09,147.2,65.07000000000001
2.19,146.67000000000002,68.27000000000001
2.3,146.67000000000002,71.47
2.41,146.13,73.6
2.52,145.6,76.8
2.62,144.53,80.0
2.73,143.47,81.07000000000001
2.84,140.27,83.2
2.94,139.2,84.27000000000001
3.06,136.53,86.4
3.16,133.87,88.0
3.28,132.27,89.6
3.38,129.6,91.72999999999999
3.5,126.92999999999999,94.4
3.6,125.33,94.92999999999999
3.71,122.67,97.6
3.82,120.0,99.72999999999999
3.93,118.4,100.8
4.04,115.72999999999999,102.92999999999999
4.15,113.07000000000001,105.07000000000001
4.26,112.0,106.13
4.37,109.33,107.2
4.48,108.27000000000001,107.72999999999999
4.59,105.6,108.27000000000001
4.7,103.47,107.72999999999999
4.81,102.4,107.2
4.92,99.72999999999999,106.13
5.02,97.6,104.53
5.13,96.53,104.0
5.24,94.4,102.4
5.35,92.8,101.87
5.46,90.13,100.27000000000001
5.57,87.47,99.2
5.69,85.87,98.67
5.8,82.67,97.6
5.91,80.0,97.07000000000001
6.01,78.4,96.53
6.12,74.67,96.0
6.23,72.0,95.47
6.34,70.4,94.92999999999999
6.44,67.2,94.4
6.56,64.53,93.33
6.66,62.92999999999999,92.8
6.77,59.73,91.2
6.88,58.129999999999995,90.67
6.99,55.470000000000006,89.07000000000001
7.1,52.27,87.47
7.21,51.2,86.4
7.32,49.6,84.27000000000001
7.43,48.0,81.6
7.53,48.0,80.53
7.64,47.47,78.4
7.74,47.47,76.8
7.86,48.0,75.2
7.97,49.07,73.6
8.07,50.13,73.07000000000001
8.18,51.73,71.47
8.29,53.870000000000005,70.4
8.4,54.92999999999999,69.33
8.51,57.07000000000001,67.72999999999999
8.62,59.2,65.6
8.73,60.8,64.53
8.84,62.92999999999999,62.4
8.95,65.07000000000001,60.27
9.06,66.13,59.2
9.17,68.27000000000001,57.07000000000001
9.28,69.33,56.0
9.39,71.47,53.33
9.49,72.53,52.27
9.6,73.6,49.6
9.71,74.67,46.93
9.82,74.67,45.33
9.92,75.2,42.67
10.04,75.72999999999999,38.93
10.15,75.72999999999999,37.87
10.26,75.72999999999999,35.2
10.37,75.2,32.0
10.48,74.67,30.93
10.59,73.6,28.8
10.71,72.0,27.73
10.83,69.87,27.2
10.93,68.8,27.2
11.05,66.67,28.27
11.16,65.6,28.8
11.26,62.92999999999999,30.4
11.38,61.870000000000005,32.0
11.48,61.33,33.07
11.59,60.8,35.730000000000004
11.71,61.33,38.4
11.81,61.33,39.47
11.92,62.4,41.6
12.04,64.0,43.2
12.15,64.53,44.269999999999996
12.26,66.67,45.87
12.37,69.33,46.93
12.48,70.4,47.47
12.59,72.53,48.53
12.7,75.2,49.6
12.82,76.27000000000001,49.6
12.93,78.92999999999999,49.6
13.04,82.13,49.6
13.14,83.72999999999999,49.6
13.25,86.4,49.07
13.36,89.6,49.07
13.48,91.2,49.07
13.59,94.92999999999999,48.53
13.7,98.13,48.53
13.81,99.72999999999999,48.0
13.92,102.92999999999999,48.0
14.03,106.13,48.0
14.13,107.72999999999999,48.0
14.24,110.92999999999999,48.0
14.35,112.53,48.0
14.45,115.2,48.0
14.56,117.87,48.53
14.67,119.47,48.0
14.78,121.6,48.0
14.88,122.67,47.47
14.99,124.8,46.93
15.1,126.4,46.4
15.21,127.47,45.87
15.32,129.07,44.8
15.44,131.2,44.269999999999996
15.55,131.2,43.730000000000004
15.65,131.73,42.13
15.76,132.27,40.53
15.87,131.73,39.47
15.99,131.2,37.87
16.1,129.07,36.8
16.21,128.0,36.269999999999996
16.32,125.87,35.2
16.44,123.2,34.67
16.55,122.13,34.67
16.66,119.47,34.13
16.77,116.8,34.67
16.88,115.2,35.2
16.99,113.07000000000001,36.8
17.1,110.92999999999999,37.87
17.21,110.4,37.87
17.32,109.33,38.93
17.44,108.8,40.0
17.56,108.8,40.0
17.67,108.8,41.07
17.78,109.33,41.6
17.89,109.87,42.13
18.0,111.47,42.13
18.12,112.53,42.67
18.22,113.07000000000001,43.2
18.34,113.6,43.2
18.45,114.13,43.730000000000004
18.55,114.13,44.269999999999996
18.66,114.13,44.8
18.77,114.67,45.33
18.88,115.2,45.33
18.99,115.2,45.87
