Time,X,Y
0.16,109.33,77.87
0.27,112.0,80.53
0.38,113.07000000000001,82.13
0.5,115.72999999999999,85.33
0.61,118.4,88.53
0.72,120.0,90.13
0.82,121.07000000000001,92.8
0.94,121.07000000000001,95.47
1.05,121.07000000000001,97.07000000000001
1.16,119.47,99.72999999999999
1.28,117.87,101.87
1.38,116.27000000000001,102.4
1.5,113.6,102.92999999999999
1.6,110.92999999999999,102.4
1.72,109.33,102.4
1.82,106.13,101.87
1.93,102.4,100.8
2.04,100.8,100.8
2.15,97.6,99.72999999999999
2.27,93.87,98.67
2.38,92.8,98.13
2.49,89.6,96.0
2.6,86.4,94.4
2.71,84.8,93.33
2.82,81.6,91.2
2.93,78.92999999999999,88.53
3.04,77.87,86.92999999999999
3.15,75.72999999999999,83.72999999999999
3.27,74.67,80.53
3.38,73.6,78.4
3.5,72.53,75.2
3.61,72.0,71.47
3.71,72.0,69.33
3.83,72.0,65.6
3.94,72.53,64.0
4.04,73.07000000000001,60.27
4.16,73.6,56.529999999999994
4.26,74.13,52.27
4.37,74.67,50.13
4.48,75.72999999999999,46.4
4.59,75.72999999999999,44.269999999999996
4.7,76.8,40.53
4.81,77.33,36.269999999999996
4.92,77.87,34.13
5.03,79.47,30.93
5.14,81.6,27.73
5.25,82.67,26.130000000000003
5.36,85.87,23.47
5.47,89.07000000000001,20.8
5.59,90.67,19.73
5.7,93.87,17.07
5.8,96.53,14.930000000000001
5.91,98.67,14.4
6.02,101.33,13.87
6.14,104.53,14.930000000000001
6.25,105.6,16.0
6.36,108.27000000000001,18.130000000000003
6.47,110.4,20.8
6.58,111.47,21.869999999999997
6.69,113.07000000000001,25.07
6.79,113.6,26.669999999999998
6.9,115.2,30.4
7.01,116.27000000000001,34.13
7.12,116.8,35.730000000000004
7.24,117.87,36.8
7.34,118.4,37.87
7.46,118.4,38.4
7.56,118.92999999999999,38.93
7.67,119.47,38.93
7.77,119.47,38.93
7.89,119.47,39.47
8.0,119.47,40.0
8.11,119.47,40.0
8.21,118.92999999999999,40.53
8.32,118.92999999999999,41.07
