Time,X,Y
0.05,46.010000000000005,59.08
0.11,46.8,59.08
0.16,46.54,60.129999999999995
0.36,45.75,67.71000000000001
0.42,45.75,68.76
0.48,45.489999999999995,71.11
0.55,45.230000000000004,73.46000000000001
0.6,44.97,74.77000000000001
0.66,44.97,77.12
0.72,44.71,79.47999999999999
0.78,44.97,82.09
0.83,44.97,83.14
0.89,46.010000000000005,85.22999999999999
0.94,47.32,87.06
1.0,48.37,87.84
1.05,49.93,89.41
1.11,51.760000000000005,90.97999999999999
1.17,53.86,92.55
1.23,54.64,93.33
1.28,56.73,94.64
1.34,57.779999999999994,95.42
1.4,59.61,96.47
1.45,61.7,96.72999999999999
1.52,63.79,96.99
1.57,65.88,96.72999999999999
1.63,66.92999999999999,96.47
1.69,69.02000000000001,95.69
1.75,71.11,94.9
1.8,72.94,94.12
1.86,73.99,93.59
1.92,76.08,92.81
1.98,78.17,92.03
2.04,79.47999999999999,91.5
2.1,81.57000000000001,90.72
2.16,84.17999999999999,89.92999999999999
2.22,86.53999999999999,89.67
2.27,88.89,89.67
2.33,89.92999999999999,89.67
2.39,92.55,89.92999999999999
2.44,94.64,90.72
2.51,95.69,91.24
2.56,98.03999999999999,92.03
2.62,100.13,93.07000000000001
2.68,102.22,94.12
2.75,104.30999999999999,95.42
2.81,105.62,95.95
2.88,108.75999999999999,97.52000000000001
2.94,110.07000000000001,98.3
3.0,112.16,99.35
3.07,115.29,101.44
3.13,116.34,101.96000000000001
3.18,118.69000000000001,103.00999999999999
3.24,119.74000000000001,103.79
3.29,121.83,105.1
3.36,123.4,106.67
3.41,124.71,107.97
3.47,125.22999999999999,108.24000000000001
3.53,125.22999999999999,108.24000000000001
3.59,125.75,108.24000000000001
3.64,125.75,108.24000000000001
3.7,126.00999999999999,107.45
3.76,125.75,106.67
3.83,125.49000000000001,106.14000000000001
3.88,126.27000000000001,106.14000000000001
3.94,127.05999999999999,105.62
3.99,127.84,104.84
4.06,128.37,103.27000000000001
4.11,128.63,101.7
4.17,128.89000000000001,100.92
4.22,129.15,99.35
4.28,129.15,97.78
4.34,129.15,96.72999999999999
4.39,128.89000000000001,94.9
4.45,128.89000000000001,92.81
4.51,128.63,90.97999999999999
4.57,128.63,89.67
4.63,128.63,87.58
4.7,128.37,85.22999999999999
4.76,128.37,82.88
4.81,128.1,80.52000000000001
4.87,128.1,79.47999999999999
4.93,128.1,77.12
4.99,127.84,74.77000000000001
5.04,127.84,73.72999999999999
5.1,127.58,71.11
5.16,127.32000000000001,68.76
5.21,126.8,66.41
5.27,126.54,65.1
5.33,126.27000000000001,63.010000000000005
5.39,125.49000000000001,60.39
5.45,124.71,58.3
5.51,124.44000000000001,57.25
5.57,123.4,54.9
5.63,122.35,52.81
5.69,121.57000000000001,50.980000000000004
5.74,120.0,49.410000000000004
5.8,118.95,48.63
5.86,117.12,47.58
5.92,115.29,46.54
5.98,114.25,46.269999999999996
6.03,112.42,45.489999999999995
6.09,110.33,44.71
6.15,109.28,44.44
6.2,107.19000000000001,43.660000000000004
6.26,105.35999999999999,43.14
6.32,103.27000000000001,42.35
6.37,101.96000000000001,41.83
6.43,99.87,41.05
6.48,97.78,40.0
6.54,96.72999999999999,39.480000000000004
6.6,94.64,38.43
6.65,92.55,37.39
6.71,91.5,36.6
6.76,89.67,35.56
6.82,87.58,34.510000000000005
6.88,85.49,33.2
6.94,84.44,32.68
6.99,82.35,31.630000000000003
7.05,81.31,31.110000000000003
7.1,79.47999999999999,30.07
7.16,77.39,28.76
7.22,75.56,27.45
7.27,74.77000000000001,26.669999999999998
7.32,73.99,25.880000000000003
7.38,72.42,24.05
7.44,70.85,22.22
7.49,69.53999999999999,20.65
7.55,67.97,18.82
7.6,67.45,17.78
7.66,66.14,16.21
7.72,65.36,15.419999999999998
7.78,64.31,14.12
7.83,63.529999999999994,13.59
7.89,63.010000000000005,13.59
7.95,63.010000000000005,14.12
8.01,63.010000000000005,14.12
8.09,62.220000000000006,14.64
8.14,61.96,14.9
8.2,61.44,15.16
8.26,60.39,15.95
8.32,59.35,16.990000000000002
8.37,58.82000000000001,17.52
8.43,58.04,18.56
8.49,57.25,19.35
8.54,56.21,20.919999999999998
8.6,55.160000000000004,22.48
8.66,54.379999999999995,24.05
8.71,53.33,25.880000000000003
8.77,52.81,26.669999999999998
8.83,52.29,27.71
8.88,51.239999999999995,29.54
8.94,49.93,31.110000000000003
9.0,48.63,33.2
9.06,47.32,35.03
9.12,46.010000000000005,36.86
9.18,45.489999999999995,37.910000000000004
9.23,44.18,39.739999999999995
9.29,42.88,41.57
9.36,41.57,43.4
9.41,40.78,44.44
9.47,39.739999999999995,46.269999999999996
9.52,38.69,48.1
9.58,38.17,48.89
9.63,37.39,50.46
9.69,37.12,52.29
9.76,37.12,53.589999999999996
9.81,37.39,54.64
9.87,38.17,56.73
9.94,39.22,58.3
9.99,39.739999999999995,59.08
10.05,41.57,60.65
10.1,42.88,61.96
10.16,44.44,63.27
10.21,45.230000000000004,63.79
10.27,47.06,64.84
10.33,48.1,65.36
10.39,49.93,66.41
10.44,51.760000000000005,67.19
10.5,53.589999999999996,68.24
10.56,55.42,69.53999999999999
10.61,56.21,70.07000000000001
10.67,58.04,71.11
10.72,58.82000000000001,71.9
10.78,60.65,73.2
10.84,62.220000000000006,74.51
10.89,63.27,75.28999999999999
10.94,64.84,76.86
11.0,66.14,78.42999999999999
11.06,67.45,80.26
11.12,67.97,81.31
11.17,69.02000000000001,83.4
11.23,69.8,85.22999999999999
11.29,70.33,86.27000000000001
11.35,70.59,88.37
11.41,70.85,90.46000000000001
11.47,70.85,91.5
11.52,70.59,93.33
11.58,70.33,95.42
11.64,69.53999999999999,97.52000000000001
11.69,69.02000000000001,99.61
11.75,68.5,100.39
11.81,67.45,102.22
11.87,66.92999999999999,103.27000000000001
11.93,65.62,104.84
11.98,64.05,105.88
12.04,62.75,106.92999999999999
