Test,Animal,Treatment,Stage,Trial,Date,Time,Duration,Distance,Velocidad,TiempoSE,TiempoSO,TiempoNO,TiempoNE
216,2b,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:05:00,1.3,0.197,0.154,0,0,0,1.3
217,2b,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:05:00,2.7,0.616,0.227,0,0,0,2.7
218,2b,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:06:00,2.4,0.531,0.222,0.3,1.2,0,0.9
219,2b,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:06:00,5.6,1.301,0.234,2.8,1.9,0,0.9
220,3b,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:08:00,18.5,5.138,0.277,3.2,3.7,3.1,8.5
221,3b,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:08:00,6,1.203,0.202,3,0,0,2.9
222,3b,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:09:00,4,1.903,0.481,2,0.8,0,1.1
223,3b,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:10:00,3.4,1.218,0.357,1,1,0.6,0.9
224,1-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:13:00,25.7,5.41,0.21,5,1.8,4.2,14.8
225,1-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:14:00,9.4,0.637,0.068,2.1,0,0,7.3
226,1-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:15:00,9.8,1.158,0.118,2.3,1,1.1,5.4
227,1-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:16:00,11.1,1.782,0.161,4.3,1.2,4.2,1.3
228,2-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:18:00,2.6,0.369,0.14,0,0,0.7,1.9
229,2-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:18:00,7.7,0.93,0.121,0,0,0,7.7
230,2-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:19:00,10.3,2.564,0.249,2,0,2.5,5.8
231,2-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:20:00,23.1,4.342,0.188,7,1.3,3.3,11.4
232,3-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:21:00,11.1,1.788,0.161,1.3,0,3.4,6.4
233,3-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:22:00,7.9,1.227,0.156,0.8,0,1.2,5.9
234,3-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:22:00,11.6,3.187,0.274,4.1,1.4,1.2,5
235,3-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:23:00,3.8,0.721,0.189,0,0,2.5,1.3
236,4-1,CUMS_ctrl,entrenamiento_4,1,12/22/2022,14:24:00,53.2,12.07,0.227,7.4,9.2,10.4,26.2
237,4-1,CUMS_ctrl,entrenamiento_4,2,12/22/2022,14:25:00,4.6,0.622,0.134,0,0,0,4.6
238,4-1,CUMS_ctrl,entrenamiento_4,3,12/22/2022,14:25:00,4.4,0.88,0.199,2.5,0.7,0,1.2
239,4-1,CUMS_ctrl,entrenamiento_4,4,12/22/2022,14:27:00,9.1,1.948,0.215,1.5,2.6,2.3,2.6
196,1a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:43:00,10.8,2.489,0.23,6.3,0,2.9,1.6
197,1a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:44:00,10.5,2.314,0.22,3.9,1.1,0.4,5.1
198,1a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:45:00,3.2,0.739,0.234,0.9,1.3,0,1
199,1a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:46:00,4.1,1.014,0.248,1.5,1.6,0,1
200,2a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:48:00,15.9,3.141,0.198,1.7,0.4,5.7,8
201,2a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:49:00,2,0.228,0.113,0,0,0,2
202,2a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:49:00,6.7,1.167,0.175,2.9,0,0,3.7
203,2a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:50:00,5.7,1.114,0.196,3.3,1.4,0,1
204,3a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:51:00,3.2,0.745,0.234,0.6,0.1,1.1,1.4
205,3a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:52:00,4.7,0.81,0.172,0,0,0,4.7
206,3a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:52:00,2.2,0.519,0.237,0.6,0.6,0,0.9
207,3a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:53:00,3,0.822,0.276,0,0,1.8,1.2
208,4a,CUMS_Fluox,entrenamiento_4,1,12/22/2022,13:55:00,25.7,5.82,0.226,3.6,2.7,14.4,5
209,4a,CUMS_Fluox,entrenamiento_4,2,12/22/2022,13:55:00,1.8,0.124,0.067,0,0,0,1.8
210,4a,CUMS_Fluox,entrenamiento_4,3,12/22/2022,13:56:00,4.9,1.398,0.283,2.2,0.7,0,2.1
211,4a,CUMS_Fluox,entrenamiento_4,4,12/22/2022,13:56:00,6.6,1.551,0.234,1.4,3.9,0.4,0.9
240,1-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:29:00,4.1,0.736,0.181,0,0,0,4.1
241,1-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:30:00,3.3,0.745,0.224,2.5,0,0,0.8
242,1-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:30:00,3.5,1.252,0.36,2,0,0,1.5
243,1-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:31:00,9.4,1.654,0.175,0,1.2,2,6.3
244,2-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:33:00,6.5,1.446,0.222,1.8,1,2.8,0.9
245,2-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:34:00,12.3,2.474,0.201,0.1,1.3,2,9
246,2-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:34:00,6.4,2.169,0.34,1.4,0.9,0,4.1
247,2-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:36:00,60,9.222,0.154,11.8,6.3,14.2,27.7
248,3-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:39:00,2.5,0.429,0.17,0,0,1.1,1.4
249,3-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:39:00,1.9,0.335,0.179,1.5,0,0,0.4
250,3-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:40:00,6.2,1.18,0.192,1.6,0,1.1,3.4
251,3-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:40:00,20.1,4.418,0.22,3,1.4,4.9,10.8
252,4-2,CUMS_Fluox,entrenamiento_4,1,12/22/2022,14:42:00,2.5,0.374,0.152,0,0,1.5,1
253,4-2,CUMS_Fluox,entrenamiento_4,2,12/22/2022,14:42:00,23.5,5.413,0.23,5.5,5.7,6.3,6.1
254,4-2,CUMS_Fluox,entrenamiento_4,3,12/22/2022,14:43:00,18,3.196,0.178,2.6,1.8,5,8.7
255,4-2,CUMS_Fluox,entrenamiento_4,4,12/22/2022,14:44:00,24.1,4.774,0.198,5,4.4,4.8,9.9
260,1b,CUMS_ctrl,prueba_1,1,12/23/2022,14:04:00,60,14.013,0.234,19.4,11.1,8.7,20.8
261,2b,CUMS_ctrl,prueba_1,1,12/23/2022,14:07:00,60,14.031,0.234,16.1,5.4,5,33.5
262,3b,CUMS_ctrl,prueba_1,1,12/23/2022,14:09:00,60,13.554,0.226,7.3,3.4,6.1,43.2
263,1-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:14:00,60,13.447,0.224,13.6,8.6,6.5,31.3
264,2-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:15:00,60,13.573,0.226,14.7,7.9,15.5,21.8
265,3-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:17:00,60,13.026,0.217,13.8,0,3.2,43
266,4-1,CUMS_ctrl,prueba_1,1,12/23/2022,14:18:00,60,13.193,0.22,12.1,5,8.6,34.3
256,1a,CUMS_Fluox,prueba_1,1,12/23/2022,13:55:00,60,13.275,0.221,12.5,4.5,4.9,38.1
257,2a,CUMS_Fluox,prueba_1,1,12/23/2022,13:57:00,60,13.672,0.228,15.3,5.8,9.5,29.4
258,3a,CUMS_Fluox,prueba_1,1,12/23/2022,13:59:00,60,13.685,0.228,16.8,5.2,6.2,31.8
259,4a,CUMS_Fluox,prueba_1,1,12/23/2022,14:01:00,60,13.849,0.231,11.2,8.9,12.4,27.6
267,1-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:21:00,60,10.236,0.171,12.6,4.1,6.2,37.2
268,2-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:24:00,60,12.347,0.206,6.4,5.3,14.4,34
269,3-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:26:00,60,12.854,0.214,16.1,5.9,8.2,29.8
270,4-2,CUMS_Fluox,prueba_1,1,12/23/2022,14:28:00,60,12.344,0.206,10,6.3,13.8,29.9
275,1b,CUMS_ctrl,prueba_2,1,2/4/2023,15:09:00,60,10.83,0.181,14.5,10.4,16.9,18.2
276,2b,CUMS_ctrl,prueba_2,1,2/4/2023,15:10:00,60,13.413,0.224,17.5,9.7,13.4,19.4
277,3b,CUMS_ctrl,prueba_2,1,2/4/2023,15:12:00,60,12.639,0.211,13.7,5,4.2,37.2
278,1-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:14:00,60,14.355,0.239,11.5,8.8,11.1,28.5
279,2-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:16:00,60,11.578,0.193,8.4,9,15.5,27.2
280,3-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:17:00,60,13.515,0.225,12.1,7.8,8.4,31.8
281,4-1,CUMS_ctrl,prueba_2,1,2/4/2023,15:18:00,60,14.034,0.234,9.5,14.4,14.3,21.8
271,1a,CUMS_Fluox,prueba_2,1,2/4/2023,15:00:00,60,14.656,0.244,12.4,6.7,16.7,24.2
272,2a,CUMS_Fluox,prueba_2,1,2/4/2023,15:02:00,60,16.042,0.267,13.5,11.7,14.3,20.6
273,3a,CUMS_Fluox,prueba_2,1,2/4/2023,15:03:00,60,15.587,0.26,10.5,14.4,19.9,15.2
274,4a,CUMS_Fluox,prueba_2,1,2/4/2023,15:05:00,60,13.125,0.219,7.9,8.3,15.7,28.1
282,1-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:21:00,60,12.133,0.202,15,15.5,14.6,14.9
283,2-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:24:00,60,11.566,0.193,6.3,7.8,10.6,35.4
284,3-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:25:00,60,12.345,0.206,8,10.1,22.5,19.4
285,4-2,CUMS_Fluox,prueba_2,1,2/4/2023,15:26:00,60,14.404,0.24,17.5,14.9,8.9,18.7
302,1b,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:00:00,60,11.461,0.191,9.6,7,13.5,30
303,1b,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:03:00,9.3,1.554,0.167,1.6,3.1,2.2,2.4
304,1b,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:04:00,11.9,1.85,0.156,2.8,1.9,1.7,5.5
305,1b,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:05:00,6,0.996,0.165,0,2.8,1.8,1.5
306,2b,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:07:00,37.8,8.518,0.225,3.1,3.9,11.6,19.2
307,2b,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:09:00,12.3,2.956,0.24,0.5,1.8,4.4,5.7
308,2b,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:10:00,14.5,3.026,0.209,2.6,4.7,2.5,4.6
309,2b,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:11:00,8.6,1.545,0.179,0,4.6,0.6,3.5
310,3b,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:12:00,28.7,6.052,0.211,1.9,3.2,4.7,19
311,3b,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:13:00,8,1.582,0.197,0.6,5.4,0,2.1
312,3b,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:15:00,57.5,12.218,0.213,9.9,20.5,2.7,24.5
313,3b,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:17:00,16.1,2.925,0.182,3.8,8.7,0.1,3.4
314,1-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:20:00,60,12.752,0.213,14.3,6.6,6.6,32.5
315,1-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:22:00,39.4,6.489,0.165,10.8,7.2,0,21.4
316,1-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:24:00,17.9,3.578,0.2,3.7,6.1,1.8,6.3
317,1-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:25:00,17,3.831,0.225,1.9,4.4,2.4,8.4
318,2-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:27:00,10.4,2.308,0.223,0.4,2.9,4.2,2.8
319,2-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:28:00,7.6,1.481,0.196,1,2,1.4,3.1
320,2-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:29:00,16.7,3.03,0.181,2.9,9.3,2.2,2.3
321,2-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:30:00,15.9,2.77,0.174,1.4,10.9,0.6,3
322,3-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:31:00,60,13.942,0.232,7.8,11,16.2,25
323,3-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:34:00,5,0.99,0.199,1.4,0.8,0,2.8
324,3-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:35:00,8.2,1.815,0.221,3.6,3,0,1.6
325,3-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:35:00,9.6,1.794,0.187,3.6,1.2,1,3.8
326,4-1,CUMS_ctrl,entrenamiento_rev_1,1,2/5/2023,15:37:00,60,14.058,0.234,10.6,6.3,14.6,28.4
327,4-1,CUMS_ctrl,entrenamiento_rev_1,2,2/5/2023,15:38:00,10,1.793,0.179,2.1,0.9,0,7
328,4-1,CUMS_ctrl,entrenamiento_rev_1,3,2/5/2023,15:39:00,8.5,1.598,0.189,1.5,4.1,2.9,0
329,4-1,CUMS_ctrl,entrenamiento_rev_1,4,2/5/2023,15:40:00,9.8,2.175,0.221,0,5.3,0.3,4.2
286,1a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:29:00,60,15.68,0.261,5.1,11.8,19.5,23.6
287,1a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:31:00,60,12.279,0.205,4.2,11.9,25.3,18.5
288,1a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:33:00,10.7,2.111,0.197,3.1,3.8,2.5,1.3
289,1a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:34:00,1.4,0.241,0.174,0,0.8,0.6,0
290,2a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:47:00,1.1,0,0,0,0,0,0
291,2a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:47:00,0.9,0,0,0,0,0,0
292,2a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:47:00,0.9,0,0,0,0,0,0
293,2a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:47:00,1.1,0,0,0,0,0,0
294,3a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:48:00,58.4,13.388,0.229,9.9,2.8,14.7,31
295,3a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:50:00,21.6,4.865,0.226,5.8,1,3.7,11.1
296,3a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:51:00,11.3,2.449,0.216,1.9,1.1,3.1,5.2
297,3a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:53:00,47.4,13.29,0.28,11,8.1,13.6,14.7
298,4a,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,14:55:00,23.6,5.497,0.232,4.4,4.8,4.7,9.7
299,4a,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,14:56:00,11,2.348,0.213,2,4.1,4.5,0.5
300,4a,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,14:57:00,0.1,0,0,0,0,0,0
301,4a,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,14:57:00,7.8,1.659,0.212,1.4,2.8,1.4,2.2
330,1-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,15:43:00,12,2.826,0.235,1.5,2.2,5.9,2.4
331,1-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,15:44:00,5.4,1.062,0.196,0,1.2,1.6,2.6
332,1-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,15:46:00,23.6,4.498,0.191,8,8.9,3.1,3.6
333,1-2,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,15:48:00,41.9,8.303,0.198,8.5,18.5,5.2,9.7
334,2-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,15:49:00,60,10.57,0.176,3.4,2.8,31.5,22.3
335,2-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,15:53:00,60,9.069,0.151,5.4,8.6,11.8,34.3
336,2-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,15:56:00,11.7,2.025,0.173,5.7,1.4,0,4.6
337,2-2,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,15:58:00,17.5,3.97,0.227,4.6,2.5,3.1,7.3
338,3-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,16:00:00,15.3,3.219,0.21,5.1,9,1.2,0
339,3-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,16:00:00,6.3,1.303,0.206,0.6,3.2,0,2.6
340,3-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,16:01:00,13.3,2.45,0.184,0,10.9,2.4,0
341,3-2,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,16:02:00,24.9,4.991,0.2,3.2,11.7,3.2,6.7
342,4-2,CUMS_Fluox,entrenamiento_rev_1,1,2/5/2023,16:04:00,60,14.666,0.244,21.5,6.2,9.2,23.2
343,4-2,CUMS_Fluox,entrenamiento_rev_1,2,2/5/2023,16:06:00,7.4,1.751,0.235,1.8,1.1,0,4.5
344,4-2,CUMS_Fluox,entrenamiento_rev_1,3,2/5/2023,16:06:00,20.1,4.4,0.219,2.5,5.9,4.6,7.1
345,4-2,CUMS_Fluox,entrenamiento_rev_1,4,2/5/2023,16:08:00,12.6,2.418,0.192,2.3,5.5,2.2,2.7
362,1b,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,15:53:00,18.2,4.261,0.234,3.6,2.9,5.1,6.6
363,1b,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,15:54:00,10,1.979,0.198,2,4.9,3.2,0
364,1b,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,15:54:00,16.1,3.221,0.2,4.1,7.3,2.1,2.7
365,1b,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,15:55:00,10.8,2,0.184,0.9,5.2,3.2,1.5
366,2b,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,15:56:00,60,13.35,0.223,16.7,0.7,7.9,34.8
367,2b,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,15:58:00,7.8,1.557,0.2,2.3,1,0,4.5
368,2b,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,15:59:00,12.5,2.006,0.161,4.1,5.1,1.8,1.5
369,2b,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,16:00:00,7.7,1.793,0.232,2.4,3.5,0.8,1
370,3b,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,16:01:00,3.8,0.88,0.232,1.3,0.8,0,1.7
371,3b,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,16:02:00,11.8,3.067,0.26,2.7,5,2.9,1.3
372,3b,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,16:03:00,2.7,0.738,0.271,2.2,0.5,0,0
373,3b,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,16:03:00,3.8,0.815,0.214,0,0.8,3,0
374,1-1,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,16:05:00,4.8,1.219,0.255,0.4,2.1,0,2.2
375,1-1,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,16:06:00,5.8,1.449,0.252,1.3,1.4,0,3
376,1-1,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,16:06:00,12.4,3.224,0.259,3.5,2.9,2.5,3.5
377,1-1,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,16:07:00,14.9,3.648,0.245,1.8,4.6,3.3,5.2
378,2-1,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,16:09:00,6.8,1.24,0.182,0.3,4.3,0,2.2
379,2-1,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,16:10:00,11.7,1.974,0.169,0,5.4,2.8,3.4
380,2-1,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,16:13:00,33,5.238,0.159,1.7,20.5,6.5,4.3
381,2-1,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,16:14:00,2.3,0.358,0.156,0,0.7,1.6,0
382,3-1,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,16:15:00,4.3,1.061,0.248,0.1,1,0,3.1
383,3-1,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,16:15:00,4.3,1.153,0.27,0.6,0.9,0,2.8
384,3-1,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,16:16:00,4.5,0.998,0.222,3.7,0.8,0,0
385,3-1,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,16:16:00,24.5,5.412,0.22,3.1,9,5,7.5
386,4-1,CUMS_ctrl,entrenamiento_rev_2,1,2/6/2023,16:18:00,6.3,0.701,0.111,3.1,3.2,0,0
387,4-1,CUMS_ctrl,entrenamiento_rev_2,2,2/6/2023,16:19:00,7.7,1.738,0.225,0,3.8,0.9,3
388,4-1,CUMS_ctrl,entrenamiento_rev_2,3,2/6/2023,16:19:00,1.7,0.352,0.201,0.6,1.1,0,0
389,4-1,CUMS_ctrl,entrenamiento_rev_2,4,2/6/2023,16:20:00,20.8,4.508,0.217,4.4,6.9,5.3,4.2
346,1a,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,15:31:00,60,13.801,0.23,1.1,3.9,23.9,31.1
347,1a,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,15:33:00,9.9,2.006,0.203,0.7,4.3,4.9,0
348,1a,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,15:34:00,19,3.579,0.188,1.6,7,4.9,5.5
349,1a,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,15:35:00,15.5,2.64,0.17,0.9,3.3,7.9,3.4
350,2a,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,15:37:00,5.3,1.104,0.207,2.1,3.2,0,0
351,2a,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,15:37:00,5.6,1.3,0.233,2,1,0,2.6
352,2a,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,15:38:00,11.7,2.504,0.214,0.9,5.2,2.3,3.3
353,2a,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,15:39:00,11.4,2.469,0.217,0,7.4,4,0
354,3a,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,15:41:00,11.2,2.855,0.254,3.1,5.2,0.7,2.3
355,3a,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,15:42:00,12.8,3.518,0.275,1.7,3.8,4.3,3
356,3a,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,15:43:00,2.8,0.699,0.252,1.9,0.9,0,0
357,3a,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,15:44:00,9.1,2.097,0.229,1.6,1.5,2.8,3.3
358,4a,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,15:46:00,13.7,3.097,0.227,1,4,3.5,5.2
359,4a,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,15:47:00,7.3,1.407,0.193,0,3.2,0.4,3.6
360,4a,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,15:48:00,1.3,0.162,0.123,0,1.3,0,0
361,4a,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,15:49:00,13.3,2.749,0.207,2.3,3.5,5.6,1.9
390,1-2,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,16:23:00,29.3,6.427,0.219,6.6,9.3,7.5,5.9
391,1-2,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,16:24:00,6.6,1.27,0.193,0.7,2.2,0,3.8
392,1-2,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,16:25:00,2.4,0.444,0.184,0.8,1.6,0,0
393,1-2,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,16:25:00,12.6,2.81,0.223,0.7,3,4.4,4.6
394,2-2,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,16:26:00,44.8,8.198,0.183,6.8,7.4,10.7,19.9
395,2-2,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,16:28:00,14.7,2.91,0.197,0,3.1,4.4,7.2
396,2-2,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,16:29:00,11.8,2.117,0.179,2.8,4.1,1.9,3
397,2-2,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,16:30:00,19.2,3.542,0.184,4.3,4.1,5.9,4.9
398,3-2,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,16:32:00,11.1,2.216,0.2,3.1,4.3,0,3.7
399,3-2,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,16:33:00,4.1,0.832,0.205,0,1.1,2.9,0
400,3-2,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,16:33:00,3.4,0.792,0.233,2.7,0.7,0,0
401,3-2,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,16:34:00,6.7,1.079,0.16,0,5.5,1.2,0
402,4-2,CUMS_Fluox,entrenamiento_rev_2,1,2/6/2023,16:35:00,5.7,1.43,0.249,1.8,2.3,0,1.6
403,4-2,CUMS_Fluox,entrenamiento_rev_2,2,2/6/2023,16:36:00,3.4,1.137,0.331,0,0.7,1.4,1.3
404,4-2,CUMS_Fluox,entrenamiento_rev_2,3,2/6/2023,16:36:00,10.4,2.283,0.22,2.2,2.9,4.2,1.2
405,4-2,CUMS_Fluox,entrenamiento_rev_2,4,2/6/2023,16:37:00,1.7,0.284,0.171,0,1.7,0,0
410,1b,CUMS_ctrl,prueba_rev,1,2/7/2023,14:00:00,60,14.925,0.249,9.8,28.3,10.5,11.4
411,2b,CUMS_ctrl,prueba_rev,1,2/7/2023,14:13:00,60,13.398,0.223,8.1,33.4,9.4,9.1
412,3b,CUMS_ctrl,prueba_rev,1,2/7/2023,14:25:00,60,14.74,0.246,24.1,6,5.2,24.7
413,1-1,CUMS_ctrl,prueba_rev,1,2/7/2023,14:52:00,60,13.244,0.221,15.4,33.3,2.2,9.1
414,2-1,CUMS_ctrl,prueba_rev,1,2/7/2023,15:05:00,60,11.795,0.197,12.5,33.9,7.1,6.4
