Time,Centre position X,Centre position Y
45.860,243,51
45.970,262,51
46.080,283,51
46.200,312,51
46.310,334,52
46.430,353,52
46.550,379,52
46.670,398,53
46.790,407,53
46.900,414,54
47.010,417,54
47.130,417,54
47.250,416,54
47.370,416,54
47.500,420,54
47.600,422,55
47.710,424,55
47.830,427,54
47.960,428,54
48.070,429,54
48.190,430,54
48.310,429,54
48.430,429,54
48.550,430,54
48.670,430,54
48.790,430,55
48.910,430,56
49.020,430,55
49.140,430,56
49.260,430,55
49.370,430,55
49.490,430,55
49.600,430,55
49.720,430,55
49.840,430,55
49.960,430,55
50.080,430,55
50.190,430,55
50.310,430,55
50.420,430,55
50.550,430,55
50.660,430,55
50.770,430,54
50.890,430,55
51.000,425,55
51.120,425,57
51.230,425,58
51.350,428,61
51.460,427,65
51.570,428,64
51.690,428,64
51.800,427,63
51.910,427,61
52.020,426,61
52.130,426,59
52.250,425,59
52.360,424,59
52.480,424,59
52.600,424,58
52.720,423,58
52.830,420,57
52.950,416,55
53.060,414,54
53.170,413,54
53.280,413,55
53.390,412,55
53.510,411,55
53.620,410,54
53.740,407,54
53.860,405,55
53.970,405,54
54.100,406,54
54.200,406,55
54.320,406,55
54.440,406,55
54.560,408,56
54.680,409,55
54.790,409,54
54.900,409,54
55.020,409,54
55.130,408,53
55.250,408,53
55.370,409,53
55.490,409,54
55.600,409,54
55.720,408,53
55.840,410,55
55.940,410,55
56.060,410,55
56.170,405,55
56.290,394,56
56.410,385,58
56.520,381,60
56.630,378,62
56.740,378,65
56.860,379,69
56.970,382,80
57.090,384,84
57.210,382,82
57.330,381,82
57.440,380,89
57.560,379,99
57.680,378,106
57.800,377,122
57.920,377,135
58.030,377,152
58.140,378,158
58.250,380,163
58.360,382,171
58.470,382,177
58.590,384,181
58.710,385,180
58.830,383,182
58.960,382,189
59.080,380,194
59.190,373,204
59.300,370,212
59.420,366,222
59.530,362,237
59.650,356,249
59.770,349,261
59.880,344,268
59.990,338,277
60.110,333,282
60.220,327,284
60.330,311,289
60.450,295,293
60.570,282,297
60.690,268,302
60.800,250,309
60.910,238,315
61.020,224,322
61.140,205,326
61.250,205,327
61.360,205,327
61.470,205,327
61.590,205,327
61.700,200,328
61.820,185,328
61.950,165,325
62.070,155,321
62.190,150,317
62.310,147,316
62.430,146,316
62.540,147,316
62.660,147,316
62.770,147,316
62.890,145,317
63.000,146,316
63.110,146,313
63.220,146,312
63.340,146,312
63.450,146,312
63.570,146,312
63.680,146,312
63.800,146,312
63.920,146,312
64.040,146,313
64.150,148,316
64.270,158,321
64.390,166,327
64.500,168,329
64.630,169,330
64.740,171,332
64.870,171,332
64.980,172,332
65.090,175,333
65.210,176,332
65.330,184,333
65.440,193,333
65.560,213,333
65.670,230,334
65.790,248,335
65.910,274,335
66.030,301,335
66.140,321,336
66.250,341,335
66.370,368,336
66.500,392,336
66.600,406,335
66.720,414,335
66.840,415,335
66.950,415,335
67.060,416,334
67.180,421,333
67.300,424,332
67.410,424,330
67.530,425,329
67.650,425,329
67.770,426,328
67.880,426,328
67.990,426,328
68.110,426,328
68.220,426,329
68.330,426,329
68.440,426,329
68.560,425,329
68.670,425,328
68.790,424,326
68.900,422,324
69.020,420,319
69.140,418,314
69.260,420,316
69.380,420,315
69.500,420,303
69.600,419,285
69.710,421,258
69.820,423,238
69.940,424,218
70.060,426,191
70.180,428,174
70.300,429,155
70.420,429,146
70.540,428,139
70.670,427,132
70.780,428,130
70.900,427,128
71.010,429,127
71.120,429,126
71.240,430,126
71.350,430,125
71.470,430,125
71.590,428,128
71.700,428,127
71.810,427,124
71.930,423,117
72.040,417,108
72.150,409,100
72.270,395,94
72.380,384,91
72.500,368,87
72.610,354,83
72.730,332,78
72.850,308,73
72.970,292,69
73.090,273,64
73.200,260,61
73.320,252,59
73.430,251,56
73.550,248,55
73.660,245,53
73.770,243,51
73.890,243,51
74.010,243,51
74.130,243,51
74.240,243,52
74.360,244,52
74.480,245,52
74.590,245,52
74.710,245,52
74.830,245,52
74.940,246,53
75.060,247,54
75.180,247,54
75.290,244,57
75.410,241,58
75.530,235,60
75.650,231,65
75.770,231,65
75.880,232,63
75.990,234,62
76.110,235,62
76.230,235,63
76.340,237,63
76.450,237,63
76.560,239,63
76.680,241,62
76.790,245,63
76.910,245,63
77.020,243,62
77.130,238,64
77.240,233,69
77.360,220,77
77.480,209,84
77.600,192,96
77.730,173,108
77.840,160,119
77.960,151,127
78.080,151,130
78.190,147,132
78.310,147,133
78.420,145,134
78.530,145,134
78.650,146,134
78.760,149,131
78.860,151,129
78.970,153,127
79.100,153,127
79.210,152,128
79.320,152,131
79.430,151,136
79.540,148,139
79.650,147,141
79.770,148,143
79.880,149,147
80.000,151,155
80.110,152,159
80.220,152,160
80.340,160,166
80.460,170,171
80.570,179,174
80.690,189,172
80.810,191,172
80.930,190,171
81.040,188,171
81.150,188,169
81.270,189,165
81.390,193,154
81.510,197,141
81.630,197,133
81.740,194,133
81.850,191,131
81.970,183,122
82.090,178,120
82.200,173,114
82.330,165,109
82.440,162,106
82.560,161,104
82.670,156,100
82.780,152,95
82.900,150,87
83.020,150,84
