Time,Centre position X,Centre position Y
0.000,,
0.220,156,157
0.350,160,146
0.470,164,138
0.580,163,140
0.700,165,142
0.810,174,142
0.930,187,135
1.050,195,126
1.160,198,116
1.280,197,97
1.400,193,83
1.510,190,72
1.620,185,66
1.740,176,60
1.850,167,58
1.970,159,55
2.090,156,53
2.200,154,54
2.320,152,59
2.440,147,66
2.560,147,78
2.670,147,88
2.790,149,105
2.900,151,129
3.010,152,144
3.140,153,167
3.260,154,187
3.370,154,211
3.490,156,229
3.620,158,252
3.730,155,275
3.850,154,291
3.970,153,312
4.090,154,324
4.200,157,328
4.320,163,331
4.440,167,331
4.560,170,329
4.670,173,329
4.790,180,328
4.900,193,325
5.010,197,326
5.130,197,326
5.240,197,326
5.360,197,326
5.480,196,324
5.590,198,322
5.700,200,316
5.820,200,316
5.940,200,316
6.060,197,318
6.170,190,316
6.290,176,304
6.400,162,294
6.520,152,282
6.630,144,264
6.740,144,248
6.860,145,232
6.970,144,223
7.080,144,214
7.200,146,193
7.320,146,175
7.430,148,149
7.550,149,130
7.670,149,103
7.790,148,84
7.910,146,80
8.020,146,78
8.140,146,78
8.260,151,80
8.370,156,76
8.480,161,69
8.610,171,63
8.730,187,55
8.850,203,53
8.970,224,54
9.090,247,53
9.210,263,53
9.330,280,53
9.440,294,53
9.560,308,54
9.680,324,54
9.790,339,55
9.900,349,54
10.020,362,55
10.140,378,56
10.250,389,57
10.370,402,58
10.480,407,58
10.600,411,60
10.720,415,70
10.840,420,79
10.950,422,92
11.050,422,112
11.170,421,122
11.290,420,144
11.400,419,165
11.520,420,183
11.640,420,188
11.760,423,195
11.880,425,210
11.990,425,227
12.100,419,249
12.220,413,266
12.340,411,277
12.460,409,291
12.570,410,301
12.690,411,313
12.800,412,318
12.920,411,317
13.030,411,317
13.150,407,320
13.270,397,325
13.390,386,330
13.500,370,333
13.620,358,332
13.730,339,330
13.850,323,328
13.970,307,327
14.090,305,329
14.200,310,329
14.320,309,327
14.430,303,323
14.550,303,323
14.670,305,325
14.790,300,328
14.910,279,333
15.020,263,333
15.140,235,333
15.250,214,333
15.380,188,331
15.490,166,326
15.600,156,322
15.720,149,312
15.830,145,298
15.950,145,289
16.060,145,279
16.170,145,274
16.290,146,277
16.400,147,275
16.510,148,264
16.630,150,248
16.750,151,237
16.860,150,221
16.970,149,214
17.090,148,212
17.210,148,212
17.320,149,213
17.440,149,212
17.560,149,210
17.670,149,210
17.790,149,210
17.910,148,207
18.030,148,203
18.150,147,201
18.270,147,201
18.380,146,201
18.500,145,201
18.610,145,201
18.720,146,202
18.840,146,201
18.960,146,202
19.070,149,204
19.190,150,207
19.320,151,208
19.430,151,209
19.550,151,209
19.670,152,208
19.790,151,204
19.910,149,189
20.020,149,174
20.130,149,157
20.260,150,140
20.380,150,129
20.490,150,122
20.610,151,116
20.730,150,115
20.840,150,116
20.950,150,118
21.070,150,121
21.190,151,121
21.300,156,123
21.410,159,124
21.530,166,124
21.640,173,125
21.760,173,126
21.870,169,125
21.990,165,124
22.100,165,121
22.210,166,119
22.330,168,110
22.450,170,102
22.570,169,88
22.690,165,75
22.810,163,68
22.930,158,63
23.040,157,59
23.150,155,59
23.270,155,59
23.390,155,59
23.510,154,58
23.630,153,56
23.740,152,56
23.860,152,55
23.980,152,55
24.100,152,55
24.210,152,55
24.320,152,54
24.430,151,53
24.550,151,53
24.650,151,53
24.770,151,53
24.900,151,53
25.010,152,53
25.130,152,53
25.250,153,53
25.370,154,54
25.490,154,54
25.600,154,53
25.720,154,53
25.830,155,54
25.940,156,53
26.050,157,59
26.160,158,62
26.280,158,61
26.400,162,58
26.510,160,56
26.630,158,56
26.750,157,55
26.870,157,55
26.990,158,55
27.100,158,55
27.220,158,56
27.340,160,58
27.440,161,59
27.560,159,56
27.670,157,54
27.790,156,56
27.900,156,64
