Time,Centre position X,Centre position Y
0.000,,
0.230,161,246
0.350,156,260
0.460,154,265
0.580,155,275
0.690,156,281
0.810,163,295
0.920,166,304
1.040,169,313
1.160,168,320
1.280,168,323
1.390,165,325
1.510,163,327
1.630,160,328
1.730,160,328
1.850,161,328
1.970,161,328
2.080,161,328
2.190,161,327
2.310,164,321
2.430,170,315
2.540,180,313
2.670,193,313
2.780,210,310
2.900,230,306
3.020,247,304
3.130,266,303
3.250,293,301
3.360,315,295
3.480,333,292
3.590,349,290
3.700,374,287
3.820,389,282
3.940,406,271
4.070,416,266
4.180,420,267
4.300,424,269
4.420,425,269
4.540,425,270
4.650,423,270
4.770,419,269
4.890,420,272
5.010,421,286
5.130,418,298
5.250,413,311
5.380,413,319
5.500,416,322
5.620,417,325
5.730,418,327
5.850,417,326
5.980,414,316
6.110,411,306
6.220,417,301
6.340,424,283
6.460,424,260
6.580,423,242
6.700,422,223
6.810,423,200
6.930,424,174
7.060,424,155
7.170,424,132
7.290,424,120
7.410,425,109
7.520,426,104
7.630,423,101
7.750,421,91
7.860,420,79
7.980,421,64
8.100,420,57
8.200,422,53
8.310,423,50
8.430,424,50
8.550,424,49
8.670,424,50
8.790,424,50
8.900,424,50
9.010,424,50
9.130,422,54
9.240,418,57
9.350,414,57
9.460,404,58
9.580,389,61
9.700,370,65
9.810,353,67
9.930,334,67
10.050,309,66
10.170,283,62
10.290,264,57
10.400,240,53
10.520,227,50
10.640,215,49
10.760,209,50
10.870,199,49
10.980,191,50
11.100,181,50
11.210,170,49
11.330,163,48
11.440,157,48
11.560,156,48
11.670,152,48
11.800,150,48
11.910,151,48
12.020,150,48
12.140,151,47
12.250,151,48
12.360,152,47
12.490,154,48
12.610,159,49
12.720,160,51
12.850,161,57
12.960,157,78
13.080,156,95
13.190,155,112
13.310,153,132
13.420,151,150
13.540,153,165
13.660,156,176
13.780,161,170
13.900,167,164
14.010,172,151
14.120,172,142
14.240,168,130
14.350,164,121
14.460,165,111
14.580,168,102
14.700,171,91
14.810,183,80
14.930,195,74
15.040,205,71
15.160,217,69
15.280,231,66
15.400,233,65
15.510,232,62
15.630,231,59
15.750,232,58
15.860,232,60
15.980,231,62
16.090,228,62
16.210,225,61
16.330,225,60
16.440,225,61
16.560,225,61
16.680,215,55
16.800,205,53
16.910,211,57
17.020,210,57
17.130,198,55
17.250,180,54
17.370,166,52
17.480,163,52
17.600,160,50
17.710,152,49
17.820,149,49
17.930,147,49
18.050,147,49
18.160,147,49
18.290,147,49
18.400,147,49
